Assembly_Num,Id,Party,Speaker_Type,Primary_Role,Speech_Count,Total_Chars,First_Speech_Date,Keyword_Total,Boundary_Per_1k_Chars
제2대,백낙준,미상/직책자,정부/기타 직책자,문교부장관,28,74571,1951-02-17,12,0.027
제2대,송방용,무소속,의원,의원,117,95639,1950-11-11,12,0.073
제2대,이석기,무소속,의원,의원,111,116665,1950-11-15,12,0.069
제2대,이춘기,무소속,의원,의원,63,81547,1950-06-20,11,0.025
제2대,최재유,미상/직책자,정부/기타 직책자,보건부차관,22,31408,1951-07-11,11,0.159
제2대,김양수,민주국민당,의원,의원,17,39820,1951-04-02,11,0.201
제2대,이재학,대한국민당,의원,의원,65,84588,1950-11-10,10,0.095
제2대,이교선,무소속,의원,의원,32,56371,1951-03-05,10,0.053
제2대,정기원,무소속,의원,의원,18,26317,1950-12-24,10,0.038
제2대,윤재근,대한국민당,의원,의원,23,35846,1950-12-11,10,0.167
제2대,박순천,대한부인회,의원,의원,22,28257,1950-12-13,10,0.106
제2대,박기배,무소속,의원,의원,9,15684,1951-03-26,9,0.191
제2대,정순조,대한독립촉성국민회,의원,의원,31,27256,1950-11-01,9,0.147
제2대,함인섭,미상/직책자,정부/기타 직책자,농림부장관,19,34178,1952-03-18,9,0.088
제2대,이종욱,대한독립촉성국민회,의원,의원,34,21405,1950-11-08,9,0.093
제2대,최성웅,대한청년단,의원,의원,15,45103,1951-03-20,9,0.089
제2대,박술음,미상/직책자,정부/기타 직책자,사회부장관,11,21261,1952-10-17,9,0.094
제2대,윤택중,민주국민당,의원,의원,56,32285,1950-11-21,8,0.093
제2대,방만수,무소속,의원,의원,39,46519,1950-11-10,8,0.043
제2대,정헌주,무소속,의원,의원,5,24358,1951-04-25,8,0.041
제2대,정헌조,대한청년단,의원,의원,34,35640,1950-11-21,7,0.112
제2대,박제환,무소속,의원,의원,6,15147,1950-10-31,7,0.132
제2대,김제능,자유당,의원,의원,37,53809,1952-02-14,7,0.13
제2대,임정규,미상/직책자,정부/기타 직책자,상공부차관,4,3089,1952-11-26,7,0.0
제2대,홍범희,미상/직책자,정부/기타 직책자,내무부차관,39,54037,1951-07-11,7,0.074
제2대,김봉조,무소속,의원,의원,62,55143,1950-11-20,6,0.091
제2대,조진만,미상/직책자,정부/기타 직책자,법무부장관,26,25700,1951-05-21,6,0.195
제2대,양우정,무소속,의원,의원,39,46342,1950-11-01,6,0.108
제2대,홍헌표,미상/직책자,정부/기타 직책자,내무부차관,53,56495,1950-11-02,6,0.053
제2대,임흥순,민주국민당,의원,의원,43,62565,1950-11-03,6,0.064
제2대,손원일,미상/직책자,정부/기타 직책자,국방부장관,9,18560,1953-08-01,6,0.108
제2대,김의준,무소속,의원,법제사법위원장,129,113721,1951-04-30,6,0.044
제2대,신중목,무소속,의원,의원,32,47970,1950-10-31,6,0.063
제2대,김정두,무소속,의원,의원,42,34250,1950-11-03,5,0.088
제2대,이내호,미상/직책자,정부/기타 직책자,상공부차관,5,4340,1951-11-16,5,0.922
제2대,김준태,무소속,의원,의원,15,16280,1952-06-20,5,0.246
제2대,김우성,무소속,의원,의원,8,5410,1950-11-08,5,0.924
제2대,박승하,무소속,의원,의원,14,18004,1950-11-01,5,0.278
제2대,여운홍,무소속,의원,의원,62,38186,1951-07-03,5,0.052
제2대,김동성,무소속,의원,부의장,88,32351,1950-10-30,5,0.093
제2대,김인태,무소속,의원,의원,42,104092,1951-04-26,5,0.019
제2대,조중서,미상/직책자,정부/기타 직책자,총무국장,66,44979,1950-11-26,5,0.022
제2대,최국현,민주국민당,의원,의원,30,20304,1950-06-19,4,0.197
제2대,지청천,민주국민당,의원,전원위원장,49,25200,1950-11-02,4,0.04
제2대,이병홍,무소속,의원,의원,12,24809,1951-07-11,4,0.161
제2대,이상철,무소속,의원,의원,22,25364,1950-10-31,4,0.158
제2대,이철원,미상/직책자,정부/기타 직책자,공보처장,4,24270,1951-11-10,4,0.165
