Assembly_Num,Session_No,Party,Technology,Income,Labor,Immigration,Migration,Foreigner,Total_Chars,Speech_Count,Distinct_Speakers,Start_Date,Dev,Bnd,Technology_1k,Income_1k,Labor_1k,Immigration_1k,Migration_1k,Foreigner_1k,Id
제헌,1,전도회,0,0,0,0,0,0,3687,19,1,1948-06-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S001|전도회
제헌,1,대한노동총연맹,3,0,81,4,4,0,26505,10,1,1948-06-29,84,8,0.11318619128466327,0.0,3.0560271646859083,0.15091492171288437,0.15091492171288437,0.0,제헌-S001|대한노동총연맹
제헌,1,한국민주당,72,2,89,61,30,51,1253261,3483,29,1948-05-31,163,142,0.05745012411620564,0.0015958367810057124,0.07101473675475418,0.04867302182067423,0.023937551715085683,0.04069383791564567,제헌-S001|한국민주당
제헌,1,한국독립당,0,0,0,0,0,0,7701,18,1,1948-06-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S001|한국독립당
제헌,1,조선민주당,0,0,0,1,3,0,19021,25,1,1948-06-01,0,4,0.0,0.0,0.0,0.052573471426318276,0.15772041427895483,0.0,제헌-S001|조선민주당
제헌,2,한국독립당,0,0,0,0,0,0,4228,16,1,1948-12-21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S002|한국독립당
제헌,2,대동청년당,9,3,2,5,8,0,86706,152,9,1948-12-22,14,13,0.10379904504878555,0.03459968168292851,0.023066454455285677,0.05766613613821419,0.09226581782114271,0.0,제헌-S002|대동청년당
제헌,2,대한여자국민당,9,0,0,0,3,0,14653,20,1,1949-01-19,9,3,0.6142086944652972,0.0,0.0,0.0,0.20473623148843242,0.0,제헌-S002|대한여자국민당
제헌,2,교육협회,1,0,0,0,0,0,6862,15,1,1949-02-14,1,0,0.14573010784027982,0.0,0.0,0.0,0.0,0.0,제헌-S002|교육협회
제헌,2,조선공화당,1,0,1,0,6,0,171325,855,1,1948-12-22,2,6,0.0058368597694440395,0.0,0.0058368597694440395,0.0,0.03502115861666423,0.0,제헌-S002|조선공화당
제헌,2,대한독립촉성국민회,32,1,11,24,37,2,562357,1614,43,1948-12-20,44,63,0.05690335498624539,0.0017782298433201683,0.019560528276521855,0.04267751623968404,0.06579450420284624,0.0035564596866403367,제헌-S002|대한독립촉성국민회
제헌,2,한국민주당,78,22,30,22,42,2,879156,1886,27,1948-12-21,130,66,0.08872145557784966,0.02502400029118837,0.03412363676071141,0.02502400029118837,0.047773091464995976,0.002274909117380761,제헌-S002|한국민주당
제헌,2,조선민족청년단,69,0,1,4,3,0,78011,111,4,1949-01-12,70,7,0.8844906487546628,0.0,0.012818705054415402,0.05127482021766161,0.03845611516324621,0.0,제헌-S002|조선민족청년단
제헌,2,조선민주당,0,0,0,0,0,0,4061,3,1,1949-01-25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S002|조선민주당
제헌,2,민족통일본부,1,0,0,0,0,0,23624,39,1,1948-12-22,1,0,0.04232983406705046,0.0,0.0,0.0,0.0,0.0,제헌-S002|민족통일본부
제헌,2,전도회,0,0,0,2,0,0,9112,28,1,1948-12-22,0,2,0.0,0.0,0.0,0.21949078138718173,0.0,0.0,제헌-S002|전도회
제헌,2,무소속,150,13,53,68,62,1,1213625,2095,74,1948-12-21,216,131,0.12359666289010196,0.010711710783808838,0.043670820887836026,0.05603048717684622,0.051086620661242144,0.0008239777526006798,제헌-S002|무소속
제헌,2,대한노동총연맹,0,0,0,2,0,0,12349,8,1,1948-12-22,0,2,0.0,0.0,0.0,0.16195643371932952,0.0,0.0,제헌-S002|대한노동총연맹
제헌,3,대한독립촉성국민회,0,6,0,5,6,1,109754,432,25,1949-05-21,6,12,0.0,0.05466771142737394,0.0,0.04555642618947829,0.05466771142737394,0.009111285237895657,제헌-S003|대한독립촉성국민회
제헌,3,민족통일본부,1,0,0,0,0,0,18362,8,1,1949-05-26,1,0,0.05446029844243546,0.0,0.0,0.0,0.0,0.0,제헌-S003|민족통일본부
