Assembly_Num,Speaker,Party,Speaker_Type,Primary_Role,Role_Groups,Speaker_Source,Speech_Count,Total_Chars,Share_of_Chars,Active_Sessions,First_Speech_Date,Last_Speech_Date,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Keyword_Per_1k_Chars
제2대,함인섭,미상/직책자,정부/기타 직책자,농림부장관,국무위원,learned,19,34178,0.00166,2,1952-03-18,1952-08-26,5,0,1,2,1,0,6,3,9,0.176,0.088,0.263
제2대,이종욱,대한독립촉성국민회,의원,의원,의원,member,34,21405,0.00104,10,1950-11-08,1953-11-16,2,0,5,0,2,0,7,2,9,0.327,0.093,0.42
제2대,최성웅,대한청년단,의원,의원,위원장; 의원,member,15,45103,0.00219,7,1951-03-20,1954-04-22,0,0,5,2,2,0,5,4,9,0.111,0.089,0.2
제2대,박술음,미상/직책자,정부/기타 직책자,사회부장관,국무위원,learned,11,21261,0.00103,4,1952-10-17,1954-01-23,4,0,3,1,0,1,7,2,9,0.329,0.094,0.423
제2대,윤택중,민주국민당,의원,의원,국무위원; 위원장; 의원,member,56,32285,0.00157,10,1950-11-21,1954-03-23,0,0,5,2,1,0,5,3,8,0.155,0.093,0.248
제2대,방만수,무소속,의원,의원,의원,member,39,46519,0.00226,10,1950-11-10,1954-03-30,0,3,3,2,0,0,6,2,8,0.129,0.043,0.172
제2대,정헌주,무소속,의원,의원,위원장; 의원,member,5,24358,0.00118,3,1951-04-25,1951-12-26,1,6,0,0,1,0,7,1,8,0.287,0.041,0.328
제2대,정헌조,대한청년단,의원,의원,의원,member,34,35640,0.00173,9,1950-11-21,1954-01-23,0,1,2,1,3,0,3,4,7,0.084,0.112,0.196
제2대,박제환,무소속,의원,의원,의원,member,6,15147,0.00073,3,1950-10-31,1951-12-08,0,0,5,2,0,0,5,2,7,0.33,0.132,0.462
제2대,김제능,자유당,의원,의원,의원,member,37,53809,0.00261,7,1952-02-14,1954-02-20,0,0,0,6,1,0,0,7,7,0.0,0.13,0.13
제2대,임정규,미상/직책자,정부/기타 직책자,상공부차관,국무위원,learned,4,3089,0.00015,2,1952-11-26,1953-10-01,7,0,0,0,0,0,7,0,7,2.266,0.0,2.266
제2대,홍범희,미상/직책자,정부/기타 직책자,내무부차관,국무위원,member,39,54037,0.00262,2,1951-07-11,1952-07-15,2,0,1,0,4,0,3,4,7,0.056,0.074,0.13
제2대,김봉조,무소속,의원,의원,미상; 위원장; 의원,member,62,55143,0.00267,10,1950-11-20,1954-05-01,1,0,0,3,2,0,1,5,6,0.018,0.091,0.109
제2대,조진만,미상/직책자,정부/기타 직책자,법무부장관,국무위원,learned,26,25700,0.00125,3,1951-05-21,1952-02-22,1,0,0,0,5,0,1,5,6,0.039,0.195,0.233
제2대,양우정,무소속,의원,의원,위원장; 의원,member,39,46342,0.00225,6,1950-11-01,1953-06-10,0,0,1,0,5,0,1,5,6,0.022,0.108,0.129
제2대,홍헌표,미상/직책자,정부/기타 직책자,내무부차관,국무위원,learned,53,56495,0.00274,2,1950-11-02,1951-05-14,3,0,0,0,3,0,3,3,6,0.053,0.053,0.106
제2대,임흥순,민주국민당,의원,의원,미상; 위원장; 의원,member,43,62565,0.00303,9,1950-11-03,1954-05-01,1,0,1,2,2,0,2,4,6,0.032,0.064,0.096
제2대,손원일,미상/직책자,정부/기타 직책자,국방부장관,국무위원,learned,9,18560,0.0009,2,1953-08-01,1953-11-19,0,0,4,2,0,0,4,2,6,0.216,0.108,0.323
제2대,김의준,무소속,의원,법제사법위원장,위원장; 의원,member,129,113721,0.00552,8,1951-04-30,1954-03-31,0,0,1,4,1,0,1,5,6,0.009,0.044,0.053
제2대,신중목,무소속,의원,의원,국무위원; 의원,member,32,47970,0.00233,9,1950-10-31,1953-12-26,3,0,0,0,3,0,3,3,6,0.063,0.063,0.125
제2대,김정두,무소속,의원,의원,의원,member,42,34250,0.00166,8,1950-11-03,1953-06-13,1,0,1,0,3,0,2,3,5,0.058,0.088,0.146
제2대,이내호,미상/직책자,정부/기타 직책자,상공부차관,국무위원,learned,5,4340,0.00021,1,1951-11-16,1951-11-16,1,0,0,0,0,4,1,4,5,0.23,0.922,1.152
제2대,김준태,무소속,의원,의원,의원,member,15,16280,0.00079,5,1952-06-20,1953-07-22,1,0,0,1,3,0,1,4,5,0.061,0.246,0.307
제2대,김우성,무소속,의원,의원,의원,member,8,5410,0.00026,5,1950-11-08,1953-11-14,0,0,0,3,2,0,0,5,5,0.0,0.924,0.924
제2대,박승하,무소속,의원,의원,의원,member,14,18004,0.00087,5,1950-11-01,1953-09-30,0,0,0,1,4,0,0,5,5,0.0,0.278,0.278
제2대,여운홍,무소속,의원,의원,위원장; 의원,member,62,38186,0.00185,8,1951-07-03,1954-03-04,1,0,2,1,1,0,3,2,5,0.079,0.052,0.131
제2대,김동성,무소속,의원,부의장,의원; 의장단,member,88,32351,0.00157,8,1950-10-30,1953-11-16,0,0,2,1,2,0,2,3,5,0.062,0.093,0.155
제2대,김인태,무소속,의원,의원,위원장; 의원,member,42,104092,0.00505,8,1951-04-26,1954-01-15,2,0,1,0,2,0,3,2,5,0.029,0.019,0.048
제2대,조중서,미상/직책자,정부/기타 직책자,총무국장,정부위원,learned,66,44979,0.00218,11,1950-11-26,1954-05-01,0,1,3,1,0,0,4,1,5,0.089,0.022,0.111
제2대,최국현,민주국민당,의원,의원,의원,member,30,20304,0.00098,8,1950-06-19,1954-03-30,0,0,0,3,1,0,0,4,4,0.0,0.197,0.197
