Assembly_Num,Role_Group,Speaker,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Speech_Count,Total_Chars,Primary_Role,Keyword_Per_1k_Chars,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Share_of_Chars
제헌,의원,전진항,0,0,9,0,0,0,9,0,9,1,2060,의원,4.369,4.369,0.0,0.00082
제헌,사무처,이철원,0,2,4,0,2,0,6,2,8,23,32426,사무총장,0.247,0.185,0.062,0.01288
제헌,국무위원,김유택,5,2,0,0,0,0,7,0,7,14,11632,재무부차관,0.602,0.602,0.0,0.00462
제헌,사무처,전규홍,0,0,1,2,4,0,1,6,7,103,28223,사무총장,0.248,0.035,0.213,0.01121
제헌,기타,유진오,6,0,0,1,0,0,6,1,7,13,26284,법제처장,0.266,0.228,0.038,0.01044
제헌,국무위원,민희식,6,0,0,0,0,0,6,0,6,2,6082,교통부장관,0.987,0.987,0.0,0.00242
제헌,국무위원,장택상,0,0,0,1,0,5,0,6,6,16,14901,외무부장관,0.403,0.0,0.403,0.00592
제헌,국무위원,장창희,0,5,0,0,1,0,5,1,6,2,1645,재무부차관,3.647,3.04,0.608,0.00065
제헌,국무위원,윤영선,2,0,1,1,1,0,3,2,5,20,23732,농림부장관,0.211,0.126,0.084,0.00943
제헌,국무위원,김갑수,3,0,1,0,1,0,4,1,5,24,45883,법무부차관,0.109,0.087,0.022,0.01823
제헌,의원,권승열,0,0,1,0,0,4,1,4,5,41,32022,전문위원,0.156,0.031,0.125,0.01272
제헌,기타,현근,5,0,0,0,0,0,5,0,5,1,4749,농사개량원장,1.053,1.053,0.0,0.00189
제헌,정부위원,차윤홍,1,0,0,1,1,2,1,4,5,223,108345,의사국장,0.046,0.009,0.037,0.04305
제헌,기타,이철원,0,0,0,3,1,0,0,4,4,6,14448,공보처장,0.277,0.0,0.277,0.00574
제헌,의원,이구수,0,0,1,2,1,0,1,3,4,94,30081,의원,0.133,0.033,0.1,0.01195
제헌,국무위원,신성모,1,0,0,2,1,0,1,3,4,21,46625,국방부장관,0.086,0.021,0.064,0.01852
제헌,국무위원,최창순,2,0,2,0,0,0,4,0,4,2,5281,사회부차관,0.757,0.757,0.0,0.0021
제헌,정부위원,현영익,1,0,3,0,0,0,4,0,4,4,4113,의사국장,0.973,0.973,0.0,0.00163
제헌,의원,김익로,0,0,3,1,0,0,3,1,4,32,14724,의원,0.272,0.204,0.068,0.00585
제헌,국무위원,권승렬,0,0,0,2,1,1,0,4,4,28,59922,법무부장관,0.067,0.0,0.067,0.02381
제헌,사무처,이종선,0,3,0,0,0,0,3,0,3,11,25466,사무총장,0.118,0.118,0.0,0.01012
제헌,국무위원,김윤근,2,0,0,1,0,0,2,1,3,6,7129,법무부차관,0.421,0.281,0.14,0.00283
제헌,기타,김병로,3,0,0,0,0,0,3,0,3,7,13180,대법원장,0.228,0.228,0.0,0.00524
제헌,의원,김용갑,3,0,0,0,0,0,3,0,3,1,7428,전문위원,0.404,0.404,0.0,0.00295
제헌,국무위원,최용덕,2,0,0,0,1,0,2,1,3,45,42681,국방부차관,0.07,0.047,0.023,0.01696
제헌,의원,오택렬,1,0,0,0,1,1,1,2,3,69,8935,의원,0.336,0.112,0.224,0.00355
제헌,기타,전규홍,1,0,0,0,1,0,1,1,2,8,8407,총무처장,0.238,0.119,0.119,0.00334
제헌,의원,이청천,0,0,0,2,0,0,0,2,2,14,14992,의원,0.133,0.0,0.133,0.00596
제헌,의원,류성갑,0,0,1,0,0,1,1,1,2,42,16815,의원,0.119,0.059,0.059,0.00668
제헌,위원장,배은희,0,0,0,2,0,0,0,2,2,2,7664,고시위원장,0.261,0.0,0.261,0.00304
제헌,국무위원,권승열,1,0,0,0,1,0,1,1,2,6,26686,법무부차관,0.075,0.037,0.037,0.0106
제헌,기타,권승렬,2,0,0,0,0,0,2,0,2,9,21350,검찰총장,0.094,0.094,0.0,0.00848
제헌,의장단,김익희,0,0,0,1,0,0,0,1,1,1,524,의장,1.908,0.0,1.908,0.00021
제헌,기타,김훈,1,0,0,0,0,0,1,0,1,20,22527,기획처장,0.044,0.044,0.0,0.00895
제헌,국무위원,백성욱,0,0,0,1,0,0,0,1,1,14,14356,내무부장관,0.07,0.0,0.07,0.0057
제헌,정부위원,김병완,0,0,0,1,0,0,0,1,1,2,2944,내무부치안국장서리,0.34,0.0,0.34,0.00117
제헌,기타,홍은표,0,0,0,0,1,0,0,1,1,1,679,기획처차장,1.473,0.0,1.473,0.00027
제헌,의원,유홍렬,0,0,0,1,0,0,0,1,1,16,3819,의원,0.262,0.0,0.262,0.00152
제헌,위원장,정인보,1,0,0,0,0,0,1,0,1,3,7399,감찰위원장,0.135,0.135,0.0,0.00294
제헌,의원,류홍열,0,0,0,1,0,0,0,1,1,3,583,의원,1.715,0.0,1.715,0.00023
제헌,의원,차윤홍,0,0,0,1,0,0,0,1,1,4,6244,전문위원,0.16,0.0,0.16,0.00248
제헌,국무위원,강직순,0,0,0,0,1,0,0,1,1,3,1176,체신부차관,0.85,0.0,0.85,0.00047
제헌,기타,신태익,0,0,0,1,0,0,0,1,1,11,14383,법제처장,0.07,0.0,0.07,0.00571
제헌,기타,김동성,0,0,0,0,0,1,0,1,1,14,11565,공보처장,0.086,0.0,0.086,0.00459
제헌,의원,박혜정,0,0,0,1,0,0,0,1,1,1,2058,의원,0.486,0.0,0.486,0.00082
제헌,국무위원,김석관,1,0,0,0,0,0,1,0,1,1,2048,교통부차관,0.488,0.488,0.0,0.00081
제헌,의장단,호주대표,0,0,0,0,0,0,0,0,0,1,1506,의장,0.0,0.0,0.0,0.0006
제헌,의원,벡관수,0,0,0,0,0,0,0,0,0,3,687,의원,0.0,0.0,0.0,0.00027
제헌,위원장,노진설,0,0,0,0,0,0,0,0,0,7,7517,국회선거위원장,0.0,0.0,0.0,0.00299
제헌,의원,김광균,0,0,0,0,0,0,0,0,0,2,70,의원,0.0,0.0,0.0,0.00003
제헌,기타,채병덕,0,0,0,0,0,0,0,0,0,10,17713,참모총장대리,0.0,0.0,0.0,0.00704
제헌,의원,황병구,0,0,0,0,0,0,0,0,0,1,2555,의원,0.0,0.0,0.0,0.00102
제헌,의원,서우식,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,노익환,0,0,0,0,0,0,0,0,0,1,1512,위원,0.0,0.0,0.0,0.0006
제헌,의장단,윤친영,0,0,0,0,0,0,0,0,0,1,77,부의장,0.0,0.0,0.0,0.00003
제헌,의원,손진백,0,0,0,0,0,0,0,0,0,1,1547,의원,0.0,0.0,0.0,0.00061
제헌,의장단,심익희,0,0,0,0,0,0,0,0,0,4,606,의장,0.0,0.0,0.0,0.00024
제헌,의원,김명인,0,0,0,0,0,0,0,0,0,2,1132,의원,0.0,0.0,0.0,0.00045
제헌,의원,황달수,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,김연준,0,0,0,0,0,0,0,0,0,1,22,의원,0.0,0.0,0.0,0.00001
제헌,의원,기초,0,0,0,0,0,0,0,0,0,1,422,위원,0.0,0.0,0.0,0.00017
제헌,정부위원,허남원,0,0,0,0,0,0,0,0,0,1,1764,의사국장,0.0,0.0,0.0,0.0007
제헌,의원,김호석,0,0,0,0,0,0,0,0,0,2,1248,의원,0.0,0.0,0.0,0.0005
제헌,기타,노진호,0,0,0,0,0,0,0,0,0,1,75,사무차장,0.0,0.0,0.0,0.00003
제헌,기타,권승열,0,0,0,0,0,0,0,0,0,1,3064,검찰총장,0.0,0.0,0.0,0.00122
제헌,의원,이석구,0,0,0,0,0,0,0,0,0,1,290,의원,0.0,0.0,0.0,0.00012
제헌,의원,이국현,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,국무위원,박종만,0,0,0,0,0,0,0,0,0,3,3184,문교부차관,0.0,0.0,0.0,0.00127
제헌,의원,이상규,0,0,0,0,0,0,0,0,0,4,5488,전문위원,0.0,0.0,0.0,0.00218
제헌,의원,김억기,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,위원장,황두연,0,0,0,0,0,0,0,0,0,3,2063,산업위원장대리,0.0,0.0,0.0,0.00082
제헌,기타,이종선,0,0,0,0,0,0,0,0,0,2,80,사무차장,0.0,0.0,0.0,0.00003
제헌,정부위원,김병로,0,0,0,0,0,0,0,0,0,2,6224,특별재판부장,0.0,0.0,0.0,0.00247
제헌,의원,장도영,0,0,0,0,0,0,0,0,0,1,23,의원,0.0,0.0,0.0,0.00001
제헌,의원,빅윤원,0,0,0,0,0,0,0,0,0,1,893,의원,0.0,0.0,0.0,0.00035
제헌,위원장,진정서,0,0,0,0,0,0,0,0,0,2,1158,내무치안위원장,0.0,0.0,0.0,0.00046
제헌,의원,김영도,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,기타,박성준,0,0,0,0,0,0,0,0,0,1,465,대검찰청차장,0.0,0.0,0.0,0.00018
제헌,의원,깅욱중,0,0,0,0,0,0,0,0,0,1,774,의원,0.0,0.0,0.0,0.00031
제헌,의원,이종선,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,징홍염,0,0,0,0,0,0,0,0,0,2,2163,의원,0.0,0.0,0.0,0.00086
제헌,의장단,긴동원,0,0,0,0,0,0,0,0,0,1,13,부의장,0.0,0.0,0.0,0.00001
제헌,의원,신셩균,0,0,0,0,0,0,0,0,0,1,1946,의원,0.0,0.0,0.0,0.00077
제헌,의원,징병민,0,0,0,0,0,0,0,0,0,1,510,의원,0.0,0.0,0.0,0.0002
제헌,위원장,대리,0,0,0,0,0,0,0,0,0,3,6063,산업위원장,0.0,0.0,0.0,0.00241
제헌,기타,백두진,0,0,0,0,0,0,0,0,0,1,2862,외자총국총장,0.0,0.0,0.0,0.00114
제헌,의원,이우선,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,김인,0,0,0,0,0,0,0,0,0,1,207,의원,0.0,0.0,0.0,0.00008
제헌,기타,이성준,0,0,0,0,0,0,0,0,0,1,545,대검찰청차장,0.0,0.0,0.0,0.00022
제헌,의원,한엄회,0,0,0,0,0,0,0,0,0,1,7,의원,0.0,0.0,0.0,0.0
제헌,의원,김뱡회,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의장단,김동운,0,0,0,0,0,0,0,0,0,1,73,부의장,0.0,0.0,0.0,0.00003
제헌,의원,펴현태,0,0,0,0,0,0,0,0,0,1,22,의원,0.0,0.0,0.0,0.00001
제헌,기타,대리,0,0,0,0,0,0,0,0,0,7,4337,참모총장,0.0,0.0,0.0,0.00172
제헌,의원,유진수,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,김우삭,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,국무위원,백한성,0,0,0,0,0,0,0,0,0,3,3977,법무부차관,0.0,0.0,0.0,0.00158
제헌,국무위원,김수학,0,0,0,0,0,0,0,0,0,1,1087,상공부차관,0.0,0.0,0.0,0.00043
제헌,위원장,최윤봉,0,0,0,0,0,0,0,0,0,1,544,외무국방위원장대리,0.0,0.0,0.0,0.00022
제헌,사무처,임철원,0,0,0,0,0,0,0,0,0,1,103,사무총장,0.0,0.0,0.0,0.00004
제헌,의원,오기영,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,박우결,0,0,0,0,0,0,0,0,0,1,461,의원,0.0,0.0,0.0,0.00018
제헌,의원,이상학,0,0,0,0,0,0,0,0,0,2,12,의원,0.0,0.0,0.0,0.0
제헌,의원,유내완,0,0,0,0,0,0,0,0,0,15,1891,의원,0.0,0.0,0.0,0.00075
