Speaker,전체발언,발전,경계,발전경계,관련발언,관련비중,정당,지역,성별,당선횟수,당선방법
의장 신익희,7502,583,57,18,658,8.770994401492935,대한독립촉성국민회,전남 광주,남,3선,지역구
위원장 이충환,2102,627,3,9,639,30.39961941008563,자유당,충북 진천군,남,6선,지역구
이철승 위원,1618,443,6,31,480,29.666254635352285,민주당,전북 전주을,남,7선,지역구
의사국장 서상준,922,415,14,42,471,51.084598698481564,미상,미상,미상,미상,미상
부의장 조경규,6653,428,14,5,447,6.718773485645574,자유당,경남 함안군,남,3선,지역구
부의장 조봉암,5796,396,23,5,424,7.315389924085576,대한국민당,경기 인천병,남,재선,지역구
재무부장관 김현철,467,314,0,21,335,71.73447537473233,미상,미상,미상,미상,미상
예산결산위원장 이충환,345,295,0,11,306,88.69565217391305,자유당,충북 진천군,남,6선,지역구
송방용 위원,649,285,6,8,299,46.070878274268104,무소속,전북 김제군갑,남,4선,지역구
재정경제위원장 이재형,441,285,0,13,298,67.57369614512471,대한국민당,경기 시흥,남,7선,지역구
유옥우 위원,674,272,2,7,281,41.69139465875371,민주당,전남 무안군을,남,5선,지역구
박영종 의원,1144,198,35,45,278,24.3006993006993,자유당,전남 담양,남,초선,지역구
재정경제위원장 박만원,547,247,1,14,262,47.89762340036563,무소속,경북 군위,남,3선,지역구
이진수 의원,1073,213,21,26,260,24.231127679403542,무소속,경기 양주을,남,재선,지역구
재정경제위원장 홍성하,378,234,1,8,243,64.28571428571429,한국민주당,서울 동대문구갑,남,초선,지역구
이형모 위원,400,230,1,3,234,58.5,자유당,전남 승주,남,재선,지역구
이태용 위원,619,214,7,4,225,36.34894991922455,민주당,충북 제천,남,4선,지역구
재무부차관 천병규,354,209,2,11,222,62.71186440677966,미상,미상,미상,미상,미상
양일동 위원,968,216,4,1,221,22.83057851239669,무소속,전북 옥구,남,5선,지역구
재무부장관 송인상,262,165,0,34,199,75.95419847328245,미상,미상,미상,미상,미상
부의장 이재학,3089,159,20,7,186,6.021366137908708,자유당,강원 홍천군,남,5선,지역구
민관식 위원,500,162,0,20,182,36.4,무소속,서울 동대문구갑,남,5선,지역구
곽의영 의원,314,149,15,15,179,57.00636942675159,무소속,충북 청원군을,남,3선,지역구
박정근 위원,326,164,3,11,178,54.601226993865026,자유당,전북 진안군,남,재선,지역구
조영규 의원,905,146,14,13,173,19.116022099447513,민주국민당,전남 영광군,남,4선,지역구
정준 의원,640,101,37,31,169,26.406249999999996,무소속,경기 김포,남,4선,지역구
박영종 위원,342,148,6,12,166,48.53801169590643,자유당,전남 담양,남,초선,지역구
이충환 의원,271,152,3,8,163,60.147601476014756,자유당,충북 진천군,남,6선,지역구
부흥부장관 송인상,191,150,0,11,161,84.29319371727748,미상,미상,미상,미상,미상
문종두 위원,382,147,2,9,158,41.361256544502616,무소속,경북 김천,남,재선,지역구
부흥부장관 신현확,213,145,0,6,151,70.89201877934272,미상,미상,미상,미상,미상
부의장 김동원,4056,142,8,0,150,3.698224852071006,한국민주당,서울 용산구,남,초선,지역구
박정근 의원,254,136,2,12,150,59.055118110236215,무소속,전북 전주,남,재선,지역구
조헌영 의원,471,112,21,10,143,30.36093418259023,한국민주당,경북 영양,남,재선,지역구
위원장대리 송방용,789,139,1,0,140,17.743979721166035,무소속,전북 김제군갑,남,4선,지역구
위원장 박만원,579,135,4,1,140,24.179620034542314,자유당,경북 군위군,남,3선,지역구
송방용 의원,311,127,2,5,134,43.08681672025724,무소속,전북 김제군갑,남,4선,지역구
의장 이기붕,2451,125,6,2,133,5.426356589147287,자유당,서울 서대문구을,남,재선,지역구
소선규 의원,374,114,6,13,133,35.56149732620321,민주국민당,전북 익산갑,남,4선,지역구
의사국장 허남수,219,116,4,11,131,59.817351598173516,미상,미상,미상,미상,미상
의사과장 이호진,247,111,6,11,128,51.821862348178136,미상,미상,미상,미상,미상
위원장 박용익,820,124,2,1,127,15.487804878048781,무소속,강원 강릉시을,남,재선,지역구
재무부장관 인태식,173,121,0,6,127,73.41040462427746,자유당,충남 당진군갑,남,3선,지역구
변진갑 의원,351,100,3,16,119,33.903133903133906,무소속,전남 장성군,남,3선,지역구
상공부차관 김의창,182,113,0,6,119,65.38461538461539,미상,미상,미상,미상,미상
위원장 박흥규,1076,115,2,1,118,10.966542750929369,자유당,전남 광주병,남,재선,지역구
엄상섭 의원,335,100,7,8,115,34.32835820895522,무소속,전남 광양,남,재선,지역구
이충환 위원,175,109,1,4,114,65.14285714285715,자유당,충북 진천군,남,6선,지역구
주요한 위원,201,94,2,17,113,56.21890547263681,민주당,서울 중구갑,남,재선,지역구
위원장 이성주,733,100,8,4,112,15.279672578444748,자유당,경기 고양,남,초선,지역구
백남식 의원,427,94,5,7,106,24.824355971896956,대한독립촉성국민회,경북 상주을,남,재선,지역구
박만원 의원,209,98,3,5,106,50.717703349282296,무소속,경북 군위,남,3선,지역구
예산국장 오임근,151,104,0,2,106,70.19867549668875,미상,미상,미상,미상,미상
김상돈 의원,481,75,16,14,105,21.82952182952183,민주국민당,서울 마포구갑,남,4선,지역구
재무부차관 김영찬,137,94,0,10,104,75.91240875912408,미상,미상,미상,미상,미상
상공부장관 구용서,131,81,1,22,104,79.38931297709924,미상,미상,미상,미상,미상
부의장 윤치영,4121,98,5,0,103,2.499393351128367,대한국민당,충남 공주을,남,4선,지역구
이철승 의원,235,89,5,7,101,42.97872340425532,무소속,전북 전주,남,7선,지역구
김도연 위원,184,90,1,10,101,54.891304347826086,민주당,서울 서대문구갑,남,6선,지역구
농림부장관 정재설,133,92,0,7,99,74.43609022556392,미상,미상,미상,미상,미상
재무부예산국장 오임근,128,99,0,0,99,77.34375,미상,미상,미상,미상,미상
재무부차관 박희현,116,94,0,5,99,85.34482758620689,미상,미상,미상,미상,미상
농림부차관 김병윤,184,85,4,9,98,53.2608695652174,미상,미상,미상,미상,미상
정재완 위원,186,82,3,12,97,52.1505376344086,민주당,전남 여수,남,4선,지역구
한동석 위원,169,93,2,1,96,56.80473372781065,자유당,경기 고양,남,초선,지역구
김광준 의원,363,82,8,4,94,25.895316804407713,무소속,경북 울진,남,3선,지역구
이재형 의원,213,87,1,5,93,43.66197183098591,무소속,경기 시흥,남,7선,지역구
김영선 위원,153,81,0,12,93,60.78431372549019,자유당,충남 보령군,남,3선,지역구
재무부차관 오임근,125,92,0,1,93,74.4,미상,미상,미상,미상,미상
정성태 위원,285,83,2,7,92,32.280701754385966,민주당,전남 광주갑,남,6선,지역구
위원장 김종신,585,90,1,0,91,15.555555555555555,자유당,경남 마산,남,초선,지역구
박해정 의원,287,71,5,15,91,31.70731707317073,무소속,경북 경산,남,4선,지역구
위원장 정명섭,278,90,1,0,91,32.73381294964029,자유당,전남 나주군을,남,3선,지역구
사회보건위원장 김용우,238,87,1,3,91,38.23529411764706,무소속,서울 서대문구갑,남,초선,지역구
상공부장관 김일환,115,86,0,5,91,79.13043478260869,자유당,서울 성북구,남,초선,지역구
기획처장 원용석,102,83,0,7,90,88.23529411764706,미상,미상,미상,미상,미상
박병배 위원,646,57,13,19,89,13.777089783281735,무소속,충남 대덕군,남,5선,지역구
조한백 의원,326,79,3,7,89,27.300613496932513,무소속,전북 김제갑,남,4선,지역구
재무부장관 이중재,146,82,4,3,89,60.95890410958904,미상,미상,미상,미상,미상
운영위원장 조순,169,80,4,3,87,51.4792899408284,자유당,전남 곡성군,남,3선,지역구
농림위원장 박정근,206,69,4,13,86,41.74757281553398,무소속,전북 전주,남,재선,지역구
홍창섭 의원,174,65,11,10,86,49.42528735632184,무소속,강원 춘천,남,4선,지역구
유봉순 위원,162,80,1,3,84,51.85185185185185,자유당,경남 합천갑,남,재선,지역구
해무청장 권성기,118,78,0,6,84,71.1864406779661,미상,미상,미상,미상,미상
문교부장관 최재유,127,69,0,14,83,65.35433070866141,미상,미상,미상,미상,미상
오의관 의원,177,72,2,8,82,46.32768361581921,무소속,경기 옹진을,남,초선,지역구
정상열 위원,159,71,2,9,82,51.57232704402516,자유당,충남 대전,남,초선,지역구
보건사회부장관 손창환,95,54,1,26,81,85.26315789473684,미상,미상,미상,미상,미상
위원장 조순,872,69,9,2,80,9.174311926605505,자유당,전남 곡성군,남,3선,지역구
위원장 이형모,318,75,2,2,79,24.842767295597483,자유당,전남 승주,남,재선,지역구
신규식 의원,133,77,0,2,79,59.3984962406015,무소속,전북 부안군,남,재선,지역구
의사국장 이호진,263,65,6,6,77,29.277566539923956,미상,미상,미상,미상,미상
이종형 의원,233,65,7,5,77,33.047210300429185,미상,미상,미상,미상,미상
김학준 위원,264,65,2,9,76,28.78787878787879,민주당,충남 공주군을,남,재선,지역구
김동욱 위원,147,67,2,7,76,51.70068027210885,민주당,"경남 부산시,서구을",남,3선,지역구
태완선 의원,153,66,4,5,75,49.01960784313725,무소속,강원 영월,남,3선,지역구
농림부장관 이근직,117,72,0,3,75,64.1025641025641,미상,미상,미상,미상,미상
황남팔 의원,110,63,2,10,75,68.18181818181817,자유당,경남 진양,남,재선,지역구
총무국장 서상준,307,71,2,1,74,24.104234527687296,미상,미상,미상,미상,미상
조주영 의원,174,64,6,4,74,42.5287356321839,무소속,경남 남해,남,초선,지역구
부의장 한희석,880,69,3,1,73,8.295454545454547,자유당,충남 천안갑,남,재선,지역구
황병규 의원,172,66,3,4,73,42.44186046511628,대한국민당,전남 여천,남,재선,지역구
국방부장관 김정열,135,55,3,14,72,53.333333333333336,미상,미상,미상,미상,미상
홍성하 의원,138,69,0,2,71,51.449275362318836,한국민주당,서울 동대문구갑,남,초선,지역구
재무부장관 백두진,92,63,0,8,71,77.17391304347827,미상,미상,미상,미상,미상
조병옥 의원,160,56,1,12,69,43.125,민주국민당,경북 대구시을,남,재선,지역구
조병문 의원,126,61,3,5,69,54.761904761904766,자유당,전남 진도군,남,재선,지역구
현석호 위원,125,67,1,1,69,55.2,자유당,경북 예천군,남,재선,지역구
곽상훈 의원,319,50,13,5,68,21.316614420062695,무소속,경기 인천갑,남,5선,지역구
전문위원 김한기,123,67,0,1,68,55.28455284552846,미상,미상,미상,미상,미상
정해영 위원,116,68,0,0,68,58.620689655172406,자유당,경남 울산군을,남,7선,지역구
위원장 최용근,405,66,0,0,66,16.296296296296298,자유당,강원 강릉,남,재선,지역구
신광균 의원,151,57,2,7,66,43.70860927152318,대한독립촉성국민회,경기 개풍,남,재선,지역구
위원장 원용석,141,63,1,2,66,46.808510638297875,자유당,충남 당진을,남,초선,지역구
김봉재 의원,113,63,1,2,66,58.4070796460177,무소속,경남 창원을,남,재선,지역구
체신부장관 곽의영,99,59,2,5,66,66.66666666666666,자유당,충북 청원을,남,3선,지역구
사회보건위원장대리 김용우,82,62,0,4,66,80.48780487804879,무소속,서울 서대문구갑,남,초선,지역구
부의장 김약수,2063,56,8,1,65,3.1507513330101795,조선공화당,경남 동래,남,초선,지역구
박해정 위원,198,58,0,7,65,32.82828282828283,민주당,경북 경산,남,4선,지역구
양영주 위원,119,58,1,6,65,54.621848739495796,자유당,전북 남원,남,초선,지역구
박철웅 위원,110,61,1,3,65,59.09090909090909,자유당,전남 고흥군을,남,3선,지역구
지연해 의원,103,61,2,2,65,63.10679611650486,무소속,전북 옥구,남,초선,지역구
박순석 의원,406,55,5,4,64,15.763546798029557,무소속,경북 영일갑,남,3선,지역구
서범석 의원,180,54,4,6,64,35.55555555555556,무소속,경기 옹진갑,남,6선,지역구
국방부장관 김정렬,169,42,7,15,64,37.8698224852071,미상,미상,미상,미상,미상
서이환 의원,166,51,6,7,64,38.55421686746988,무소속,경북 울릉,남,재선,지역구
류청 위원,152,46,6,12,64,42.10526315789473,미상,미상,미상,미상,미상
박흥규 위원,141,63,0,1,64,45.39007092198582,자유당,전남 광산을,남,재선,지역구
문교부차관 김선기,125,55,1,8,64,51.2,미상,미상,미상,미상,미상
엄상섭 위원,351,55,3,5,63,17.94871794871795,민주당,서울 용산구갑,남,재선,지역구
정광호 의원,309,55,4,4,63,20.388349514563107,한국민주당,전남 광주,남,초선,지역구
박영출 의원,289,35,15,13,63,21.79930795847751,대한국민당,경북 의성갑,남,재선,지역구
윤용구 위원,168,62,0,1,63,37.5,자유당,경북 청송,남,재선,지역구
전진한 의원,95,55,2,6,63,66.3157894736842,대한노동총연맹,경남 부산무,남,5선,지역구
농림부장관 정운갑,94,63,0,0,63,67.02127659574468,미상,미상,미상,미상,미상
이필호 위원,475,53,3,6,62,13.052631578947368,민주당,전남 광주을,남,초선,지역구
농림위원장 조병문,168,59,1,2,62,36.904761904761905,자유당,전남 진도군,남,재선,지역구
유옥우 의원,168,57,0,5,62,36.904761904761905,자유당,전남 무안군을,남,5선,지역구
이재학 의원,145,54,4,4,62,42.758620689655174,무소속,강원 홍천,남,5선,지역구
김두진 위원,114,54,1,7,62,54.385964912280706,자유당,제주 북제주,남,재선,지역구
강영훈 위원,597,41,11,8,60,10.050251256281408,민주당,경기 양주갑,남,재선,지역구
이정래 의원,338,48,9,3,60,17.75147928994083,한국민주당,전남 보성,남,3선,지역구
최운교 의원,317,50,7,3,60,18.92744479495268,무소속,충남 논산을,남,초선,지역구
교통부장관 문봉제,106,53,3,4,60,56.60377358490566,미상,미상,미상,미상,미상
농림부장관 임철호,101,57,0,3,60,59.4059405940594,미상,미상,미상,미상,미상
장홍염 의원,214,53,1,5,59,27.570093457943923,한국민주당,전남 무안을,남,재선,지역구
내무부장관 최인규,168,47,3,9,59,35.11904761904761,자유당,경기 광주,남,초선,지역구
이만우 위원,115,54,1,4,59,51.30434782608696,민주당,"경남 부산시,영도을",남,재선,지역구
부의장 황성수,938,51,6,1,58,6.183368869936034,자유당,전남 보성군,남,4선,지역구
서범석 위원,456,55,0,3,58,12.719298245614036,민주당,서울 성북구,남,6선,지역구
김재곤 위원,215,52,2,4,58,26.976744186046513,민주당,경기 인천시갑,남,3선,지역구
이형진 위원,125,54,2,2,58,46.400000000000006,자유당,강원 평창,남,초선,지역구
조국현 의원,396,44,11,2,57,14.393939393939394,미상,전남 화순,남,재선,지역구
소선규 위원,129,52,1,4,57,44.18604651162791,민주국민당,전북 익산갑,남,4선,지역구
재무부장관 김도연,78,54,1,2,57,73.07692307692307,한국민주당,서울 서대문구,남,6선,지역구
박만원 위원,145,52,1,3,56,38.62068965517241,자유당,경북 군위군,남,3선,지역구
안상한 의원,109,40,3,13,56,51.37614678899083,무소속,강원 횡성,남,초선,지역구
의사국장 차윤홍,216,41,3,11,55,25.462962962962965,미상,미상,미상,미상,미상
위원장 구흥남,190,55,0,0,55,28.947368421052634,자유당,전남 화순,남,재선,지역구
이재형 위원,139,51,0,4,55,39.568345323741006,무소속,경기 시흥시,남,7선,지역구
부흥부차관 신현확,75,53,0,2,55,73.33333333333333,미상,미상,미상,미상,미상
김수선 의원,194,48,2,4,54,27.835051546391753,무소속,경남 울산을,남,재선,지역구
유영준 위원,164,51,2,1,54,32.926829268292686,자유당,경기 옹진,남,초선,지역구
임영신 의원,159,42,8,4,54,33.9622641509434,대한여자국민당,경북 안동을,여,재선,지역구
유승준 의원,120,40,7,7,54,45.0,무소속,충남 홍성,남,재선,지역구
김원전 위원,87,52,0,2,54,62.06896551724138,자유당,전북 군산,남,초선,지역구
산업위원장대리 홍희종,80,53,0,1,54,67.5,조선민족청년단,전북 김제을,남,초선,지역구
위원장 변진갑,467,53,0,0,53,11.349036402569594,자유당,전남 장성군,남,3선,지역구
최병권 위원,244,31,14,8,53,21.721311475409834,자유당,경북 울릉,남,재선,지역구
법제사법위원장 박세경,226,49,1,3,53,23.451327433628318,자유당,전북 임실,남,재선,지역구
강경옥 의원,101,41,2,10,53,52.475247524752476,무소속,제주 남제주군,남,3선,지역구
이영희 위원,219,50,1,1,52,23.74429223744292,자유당,경남 의령,남,재선,지역구
조영규 위원,174,48,0,4,52,29.88505747126437,민주당,전남 영광군,남,4선,지역구
조광섭 의원,132,43,2,7,52,39.39393939393939,조선민주당,서울 영등포구갑,남,초선,지역구
장병만 의원,253,48,3,0,51,20.158102766798418,대한독립촉성국민회,경북 칠곡,남,초선,지역구
양일동 의원,184,45,4,2,51,27.717391304347828,무소속,전북 옥구,남,5선,지역구
윤형남 의원,174,43,3,5,51,29.310344827586203,무소속,전남 순천시,남,3선,지역구
농림위원장 홍창섭,86,49,0,2,51,59.30232558139535,자유당,강원 춘천,남,4선,지역구
위원장 이갑식,385,50,0,0,50,12.987012987012985,자유당,전남 구례,남,재선,지역구
이종남 위원,297,49,0,1,50,16.835016835016837,민주당,"경남 부산시,진구갑",남,3선,지역구
김웅진 의원,280,35,13,2,50,17.857142857142858,무소속,경기 수원을,남,재선,지역구
김준연 의원,231,32,7,11,50,21.645021645021643,한국민주당,전남 영암,남,5선,지역구
신규식 위원,175,48,0,2,50,28.57142857142857,자유당,전북 부안,남,재선,지역구
함두영 위원,117,48,0,2,50,42.73504273504273,자유당,서울 마포구을,남,초선,지역구
이영희 의원,106,41,3,6,50,47.16981132075472,자유당,경남 의령군,남,재선,지역구
김영선 의원,74,47,0,3,50,67.56756756756756,무소속,충남 보령군,남,3선,지역구
부의장 임철호,520,44,5,0,49,9.423076923076923,자유당,충남 부여을,남,초선,지역구
우희창 위원,201,35,4,10,49,24.378109452736318,민주당,충남 서천,남,재선,지역구
류진산 위원,194,46,2,1,49,25.257731958762886,미상,미상,미상,미상,미상
조재천 의원,116,33,5,11,49,42.241379310344826,민주국민당,경북 달성군,남,4선,지역구
김선태 위원,677,40,2,6,48,7.0901033973412115,민주당,전남 완도군,남,3선,지역구
이석주 의원,245,41,5,2,48,19.591836734693878,대한독립촉성국민회,전북 완주을,남,초선,지역구
이인 의원,126,43,2,3,48,38.095238095238095,국민당,서울 영등포구을,남,3선,지역구
재무부차관 박종식,110,45,0,3,48,43.63636363636363,미상,미상,미상,미상,미상
허윤수 위원,101,41,0,7,48,47.524752475247524,민주당,경남 마산,남,초선,지역구
신정호 위원,83,43,1,4,48,57.831325301204814,무소속,충북 청원군갑,남,재선,지역구
조만종 위원,82,47,0,1,48,58.536585365853654,자유당,경남 밀양을,남,초선,지역구
서상일 의원,242,42,2,3,47,19.421487603305785,한국민주당,경북 대구을,남,재선,지역구
권중돈 의원,134,36,4,7,47,35.07462686567165,무소속,경북 영천군갑,남,5선,지역구
김도연 의원,103,41,1,5,47,45.63106796116505,민주국민당,서울 서대문구갑,남,6선,지역구
김동욱 의원,101,42,0,5,47,46.53465346534654,무소속,경남 부산정,남,3선,지역구
외무부장관 조정환,82,35,1,11,47,57.3170731707317,미상,미상,미상,미상,미상
서우석 의원,467,40,6,0,46,9.850107066381156,한국민주당,전남 곡성,남,초선,지역구
김용진 위원,236,43,2,1,46,19.491525423728813,민주당,경남 진주,남,재선,지역구
유진홍 의원,212,38,6,2,46,21.69811320754717,대한독립촉성국민회,충남 논산갑,남,초선,지역구
김정식 의원,154,41,2,3,46,29.87012987012987,대한청년단,경북 영주,남,초선,지역구
곽의영 위원,86,46,0,0,46,53.48837209302325,자유당,충북 청원을,남,3선,지역구
부의장 곽상훈,859,42,2,1,45,5.238649592549476,무소속,경기 인천시을,남,5선,지역구
남송학 의원,161,41,2,2,45,27.95031055900621,대한국민당,서울 용산구을,남,재선,지역구
재정경제위원장 인태식,103,44,0,1,45,43.689320388349515,자유당,충남 당진군갑,남,3선,지역구
부흥부장관 유완창,67,44,1,0,45,67.16417910447761,미상,미상,미상,미상,미상
황호현 의원,164,40,0,4,44,26.82926829268293,대한독립촉성국민회,강원 평창,남,3선,지역구
李敏雨 위원,136,42,1,1,44,32.35294117647059,미상,미상,미상,미상,미상
정남국 의원,80,37,4,3,44,55.00000000000001,민주국민당,전남 완도,남,초선,지역구
김의택 위원,76,41,0,3,44,57.89473684210527,무소속,전남 함평군,남,4선,지역구
농림부차관 김원태,76,41,0,3,44,57.89473684210527,미상,미상,미상,미상,미상
교통부장관 이종림,57,34,1,9,44,77.19298245614034,미상,미상,미상,미상,미상
김지태 의원,48,42,0,2,44,91.66666666666666,무소속,경남 부산갑,남,재선,지역구
윤치영 의원,208,28,9,6,43,20.673076923076923,한국민주당,서울 중구,남,4선,지역구
윤병구 의원,192,39,2,2,43,22.395833333333336,무소속,충남 예산,남,재선,지역구
김종순 의원,143,25,6,12,43,30.069930069930066,무소속,전남 나주갑,남,초선,지역구
이종현 의원,122,29,7,7,43,35.24590163934426,무소속,서울 마포구을,남,초선,지역구
정일형 의원,118,26,7,10,43,36.440677966101696,무소속,서울 중구을,남,8선,지역구
윤택중 위원,99,30,2,11,43,43.43434343434344,민주당,전북 익산을,남,3선,지역구
류순식 위원,258,38,3,1,42,16.27906976744186,미상,미상,미상,미상,미상
나판수 위원,208,39,1,2,42,20.192307692307693,자유당,전남 무안갑,남,초선,지역구
황두연 의원,175,39,1,2,42,24.0,미상,전남 순천갑,남,초선,지역구
김상도 의원,129,39,1,2,42,32.55813953488372,자유당,경북 영천군갑,남,재선,지역구
국방부차관 최세황,91,32,3,7,42,46.15384615384615,미상,미상,미상,미상,미상
농림부장관 조봉암,74,28,3,11,42,56.75675675675676,무소속,경기 인천을,남,재선,지역구
임기봉 의원,59,39,0,3,42,71.1864406779661,미상,전남 목포,남,초선,지역구
조종승 의원,156,34,4,3,41,26.282051282051285,무소속,충북 단양,남,재선,지역구
홍희종 의원,90,36,3,2,41,45.55555555555556,조선민족청년단,전북 김제을,남,초선,지역구
강선명 의원,81,40,0,1,41,50.617283950617285,무소속,전남 목포,남,초선,지역구
구흥남 위원,79,36,1,4,41,51.89873417721519,자유당,전남 화순,남,재선,지역구
재무부차관 김유택,77,38,0,3,41,53.246753246753244,미상,미상,미상,미상,미상
내무부장관 김형근,71,36,3,2,41,57.74647887323944,미상,미상,미상,미상,미상
상공부장관 강성태,56,32,0,9,41,73.21428571428571,미상,미상,미상,미상,미상
산업위원장대리 조헌영,214,38,0,2,40,18.69158878504673,한국민주당,경북 영양,남,재선,지역구
김석진 위원,210,36,2,2,40,19.047619047619047,자유당,전남 해남을,남,초선,지역구
법무부장관 이호,123,24,11,5,40,32.52032520325203,미상,미상,미상,미상,미상
내무부장관 김일환,87,34,1,5,40,45.97701149425287,미상,미상,미상,미상,미상
김진만 위원,68,36,1,3,40,58.82352941176471,자유당,강원 삼척군,남,7선,지역구
김철안 위원,68,39,0,1,40,58.82352941176471,자유당,경북 금릉,여,재선,지역구
부의장 최순주,795,37,2,0,39,4.905660377358491,자유당,충북 영동,남,초선,지역구
위원장대리 이태용,107,39,0,0,39,36.44859813084112,자유당,충북 제천,남,4선,지역구
재무부이재국장 이열모,89,38,0,1,39,43.82022471910113,미상,미상,미상,미상,미상
체신부장관 이응준,68,37,0,2,39,57.35294117647059,미상,미상,미상,미상,미상
노기용 의원,65,37,2,0,39,60.0,무소속,경남 합천갑,남,초선,지역구
부의장 장택상,1344,36,2,0,38,2.8273809523809526,무소속,경북 칠곡,남,4선,지역구
위원장 하태환,265,37,0,1,38,14.339622641509434,자유당,경북 포항,남,재선,지역구
조순 의원,122,33,1,4,38,31.147540983606557,자유당,전남 곡성군,남,3선,지역구
신익희 의원,104,21,9,8,38,36.53846153846153,민주국민당,전남 광주,남,3선,지역구
김선태 의원,98,24,5,9,38,38.775510204081634,무소속,전남 완도군,남,3선,지역구
외무부장관 변영태,95,19,9,10,38,40.0,미상,미상,미상,미상,미상
산업은행총재 구용서,48,34,1,3,38,79.16666666666666,미상,미상,미상,미상,미상
김병회 의원,156,26,5,6,37,23.717948717948715,무소속,전남 진도,남,초선,지역구
한광석 위원,155,33,2,2,37,23.870967741935484,자유당,충남 부여군갑,남,재선,지역구
윤형남 위원,125,31,0,6,37,29.599999999999998,무소속,전남 순천시,남,3선,지역구
안용대 의원,100,28,2,7,37,37.0,무소속,경북 경주갑,남,재선,지역구
김주묵 위원,88,30,1,6,37,42.04545454545455,민주당,충북 음성군,남,초선,지역구
교통부장관 김일환,71,29,3,5,37,52.112676056338024,미상,미상,미상,미상,미상
국무총리 이범석,60,26,2,9,37,61.66666666666667,미상,미상,미상,미상,미상
내무부차관 홍헌표,53,26,5,6,37,69.81132075471697,미상,미상,미상,미상,미상
위원장대리 박흥규,356,35,0,1,36,10.112359550561797,자유당,전남 광산을,남,재선,지역구
권중돈 위원,310,31,5,0,36,11.612903225806452,민주당,경북 영천군을,남,5선,지역구
유용식 위원,302,31,3,2,36,11.920529801324504,자유당,경기 양평,남,초선,지역구
박영종 의원(계속),151,25,6,5,36,23.841059602649008,자유당,전남 담양,남,초선,지역구
오범수 위원,120,30,3,3,36,30.0,자유당,충북 청원갑,남,재선,지역구
김정실 의원,117,31,2,3,36,30.76923076923077,무소속,경남 고성,남,초선,지역구
황성수 의원,101,22,3,11,36,35.64356435643564,무소속,서울 용산구갑,남,4선,지역구
정중섭 의원,85,27,4,5,36,42.35294117647059,민주국민당,전남 목포,남,재선,지역구
조한백 위원,82,36,0,0,36,43.90243902439025,민주당,전북 김제군갑,남,4선,지역구
박철웅 의원,65,27,0,9,36,55.38461538461539,무소속,전남 광주,남,3선,지역구
황경수 위원,52,33,0,3,36,69.23076923076923,자유당,경기 평택,남,초선,지역구
유성권 위원,197,32,2,1,35,17.766497461928935,민주당,서울 성동구갑,남,3선,지역구
류진산 의원,171,29,5,1,35,20.46783625730994,미상,미상,미상,미상,미상
법제사법위원장 엄상섭,143,30,2,3,35,24.475524475524477,무소속,전남 광양,남,재선,지역구
박윤원 의원,133,32,1,2,35,26.31578947368421,무소속,경남 남해,남,초선,지역구
김원규 위원,95,35,0,0,35,36.84210526315789,자유당,경북 영덕군,남,재선,지역구
유봉순 의원,94,30,3,2,35,37.234042553191486,무소속,경남 합천군갑,남,재선,지역구
경리과장 안길호,78,35,0,0,35,44.871794871794876,미상,미상,미상,미상,미상
임차주 위원,70,33,0,2,35,50.0,자유당,전북 순창군,남,3선,지역구
장경근 의원,59,23,2,10,35,59.32203389830508,자유당,경기 부천,남,재선,지역구
농림부장관 임문환,49,23,1,11,35,71.42857142857143,미상,미상,미상,미상,미상
기획처예산국장 오림근,48,32,0,3,35,72.91666666666666,미상,미상,미상,미상,미상
권오종 위원,150,32,1,1,34,22.666666666666664,민주당,경북 안동갑,남,재선,지역구
윤재욱 의원,123,24,5,5,34,27.64227642276423,대동청년당,서울 영등포구,남,재선,지역구
고담용 위원,70,28,0,6,34,48.57142857142857,민주당,제주 제주,남,재선,지역구
공보실장 오재경,67,31,1,2,34,50.74626865671642,미상,미상,미상,미상,미상
보건사회부장관 최재유,46,27,2,5,34,73.91304347826086,미상,미상,미상,미상,미상
임용순 의원,46,31,1,2,34,73.91304347826086,대한청년단,강원 삼척,남,초선,지역구
김판술 의원,44,32,0,2,34,77.27272727272727,민주국민당,전북 군산,남,3선,지역구
위원장대리 김두진,415,33,0,0,33,7.951807228915662,자유당,제주 북제주,남,재선,지역구
조일재 위원,163,25,2,6,33,20.245398773006134,민주당,경남 동래군,남,재선,지역구
강욱중 의원,154,29,2,2,33,21.428571428571427,조선민족청년단,경남 함안,남,초선,지역구
재무부사세국장 권택상,115,30,0,3,33,28.695652173913043,미상,미상,미상,미상,미상
내무부장관 이익흥,102,20,8,5,33,32.35294117647059,미상,미상,미상,미상,미상
이석기 의원,98,25,3,5,33,33.6734693877551,무소속,충남 부여갑,남,3선,지역구
박재홍 의원,93,29,1,3,33,35.483870967741936,국민당,경남 김해갑,남,초선,지역구
이구수 의원,92,12,15,6,33,35.869565217391305,미상,미상,미상,미상,미상
정명섭 위원,77,32,0,1,33,42.857142857142854,자유당,전남 나주군을,남,3선,지역구
농림부차관 김장섭,71,32,0,1,33,46.478873239436616,자유당,경북 영일군을,남,4선,지역구
나희집 위원,70,31,1,1,33,47.14285714285714,자유당,충남 서천,남,초선,지역구
정규상 위원,66,33,0,0,33,50.0,자유당,강원 영월군,남,재선,지역구
