SpeakerA,SpeakerB,Weight,Examples
부의장조경규,상공위원장대리김진만,24,"[{""MeetingID"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)"", ""Date"": ""1955-10-25"", ""SeqA"": 79, ""SeqB"": 103, ""SpeechA"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)||79"", ""SpeechB"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)||103""}, {""MeetingID"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)"", ""Date"": ""1955-10-25"", ""SeqA"": 103, ""SeqB"": 104, ""SpeechA"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)||103"", ""SpeechB"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)||104""}, {""MeetingID"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)"", ""Date"": ""1955-10-25"", ""SeqA"": 124, ""SeqB"": 129, ""SpeechA"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)||124"", ""SpeechB"": ""1955-10-25||제3대국회 제21회(임시회) 제25차 국회본회의(전체회의)||129""}]"
박상영의원,의장신익희,24,"[{""MeetingID"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)"", ""Date"": ""1948-09-23"", ""SeqA"": 52, ""SeqB"": 66, ""SpeechA"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)||52"", ""SpeechB"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)||66""}, {""MeetingID"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)"", ""Date"": ""1948-09-23"", ""SeqA"": 66, ""SeqB"": 67, ""SpeechA"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)||66"", ""SpeechB"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)||67""}, {""MeetingID"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)"", ""Date"": ""1948-09-23"", ""SeqA"": 67, ""SeqB"": 68, ""SpeechA"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)||67"", ""SpeechB"": ""1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)||68""}]"
곽의영의원,부의장장택상,24,"[{""MeetingID"": ""1950-11-18||제2대국회 제8회(임시회) 제52차 국회본회의(전체회의)"", ""Date"": ""1950-11-18"", ""SeqA"": 126, ""SeqB"": 127, ""SpeechA"": ""1950-11-18||제2대국회 제8회(임시회) 제52차 국회본회의(전체회의)||126"", ""SpeechB"": ""1950-11-18||제2대국회 제8회(임시회) 제52차 국회본회의(전체회의)||127""}, {""MeetingID"": ""1951-01-22||제2대국회 제10회(정기회) 제12차 국회본회의(전체회의)"", ""Date"": ""1951-01-22"", ""SeqA"": 61, ""SeqB"": 62, ""SpeechA"": ""1951-01-22||제2대국회 제10회(정기회) 제12차 국회본회의(전체회의)||61"", ""SpeechB"": ""1951-01-22||제2대국회 제10회(정기회) 제12차 국회본회의(전체회의)||62""}, {""MeetingID"": ""1951-01-22||제2대국회 제10회(정기회) 제12차 국회본회의(전체회의)"", ""Date"": ""1951-01-22"", ""SeqA"": 62, ""SeqB"": 64, ""SpeechA"": ""1951-01-22||제2대국회 제10회(정기회) 제12차 국회본회의(전체회의)||62"", ""SpeechB"": ""1951-01-22||제2대국회 제10회(정기회) 제12차 국회본회의(전체회의)||64""}]"
위원장조순,의사국장이호진,24,"[{""MeetingID"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)"", ""Date"": ""1958-10-13"", ""SeqA"": 19, ""SeqB"": 20, ""SpeechA"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)||19"", ""SpeechB"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)||20""}, {""MeetingID"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)"", ""Date"": ""1958-10-13"", ""SeqA"": 20, ""SeqB"": 21, ""SpeechA"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)||20"", ""SpeechB"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)||21""}, {""MeetingID"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)"", ""Date"": ""1958-10-13"", ""SeqA"": 21, ""SeqB"": 22, ""SpeechA"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)||21"", ""SpeechB"": ""1958-10-13||제4대국회 제30회(정기회) 제8차 국회운영위원회(전체회의)||22""}]"
박만원위원,박해정위원,24,"[{""MeetingID"": ""1958-07-16||제4대국회 제29회(임시회) 제1차 재정경제위원회(전체회의)"", ""Date"": ""1958-07-16"", ""SeqA"": 62, ""SeqB"": 63, ""SpeechA"": ""1958-07-16||제4대국회 제29회(임시회) 제1차 재정경제위원회(전체회의)||62"", ""SpeechB"": ""1958-07-16||제4대국회 제29회(임시회) 제1차 재정경제위원회(전체회의)||63""}, {""MeetingID"": ""1958-07-16||제4대국회 제29회(임시회) 제1차 재정경제위원회(전체회의)"", ""Date"": ""1958-07-16"", ""SeqA"": 63, ""SeqB"": 64, ""SpeechA"": ""1958-07-16||제4대국회 제29회(임시회) 제1차 재정경제위원회(전체회의)||63"", ""SpeechB"": ""1958-07-16||제4대국회 제29회(임시회) 제1차 재정경제위원회(전체회의)||64""}, {""MeetingID"": ""1958-07-24||제4대국회 제29회(임시회) 제4차 재정경제위원회(전체회의)"", ""Date"": ""1958-07-24"", ""SeqA"": 50, ""SeqB"": 51, ""SpeechA"": ""1958-07-24||제4대국회 제29회(임시회) 제4차 재정경제위원회(전체회의)||50"", ""SpeechB"": ""1958-07-24||제4대국회 제29회(임시회) 제4차 재정경제위원회(전체회의)||51""}]"
부의장이재학,정성태의원,24,"[{""MeetingID"": ""1957-01-19||제3대국회 제23회(임시회) 제7차 국회본회의(전체회의)"", ""Date"": ""1957-01-19"", ""SeqA"": 28, ""SeqB"": 37, ""SpeechA"": ""1957-01-19||제3대국회 제23회(임시회) 제7차 국회본회의(전체회의)||28"", ""SpeechB"": ""1957-01-19||제3대국회 제23회(임시회) 제7차 국회본회의(전체회의)||37""}, {""MeetingID"": ""1957-01-19||제3대국회 제23회(임시회) 제7차 국회본회의(전체회의)"", ""Date"": ""1957-01-19"", ""SeqA"": 37, ""SeqB"": 38, ""SpeechA"": ""1957-01-19||제3대국회 제23회(임시회) 제7차 국회본회의(전체회의)||37"", ""SpeechB"": ""1957-01-19||제3대국회 제23회(임시회) 제7차 국회본회의(전체회의)||38""}, {""MeetingID"": ""1957-03-09||제3대국회 제24회(임시회) 제4차 국회본회의(전체회의)"", ""Date"": ""1957-03-09"", ""SeqA"": 101, ""SeqB"": 106, ""SpeechA"": ""1957-03-09||제3대국회 제24회(임시회) 제4차 국회본회의(전체회의)||101"", ""SpeechB"": ""1957-03-09||제3대국회 제24회(임시회) 제4차 국회본회의(전체회의)||106""}]"
산업위원장이종현,의장신익희,24,"[{""MeetingID"": ""1950-11-25||제2대국회 제8회(임시회) 제58차 국회본회의(전체회의)"", ""Date"": ""1950-11-25"", ""SeqA"": 33, ""SeqB"": 132, ""SpeechA"": ""1950-11-25||제2대국회 제8회(임시회) 제58차 국회본회의(전체회의)||33"", ""SpeechB"": ""1950-11-25||제2대국회 제8회(임시회) 제58차 국회본회의(전체회의)||132""}, {""MeetingID"": ""1950-11-25||제2대국회 제8회(임시회) 제58차 국회본회의(전체회의)"", ""Date"": ""1950-11-25"", ""SeqA"": 132, ""SeqB"": 133, ""SpeechA"": ""1950-11-25||제2대국회 제8회(임시회) 제58차 국회본회의(전체회의)||132"", ""SpeechB"": ""1950-11-25||제2대국회 제8회(임시회) 제58차 국회본회의(전체회의)||133""}, {""MeetingID"": ""1951-03-09||제2대국회 제10회(정기회) 제43차 국회본회의(전체회의)"", ""Date"": ""1951-03-09"", ""SeqA"": 20, ""SeqB"": 30, ""SpeechA"": ""1951-03-09||제2대국회 제10회(정기회) 제43차 국회본회의(전체회의)||20"", ""SpeechB"": ""1951-03-09||제2대국회 제10회(정기회) 제43차 국회본회의(전체회의)||30""}]"
민경식의원,부의장김동원,24,"[{""MeetingID"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)"", ""Date"": ""1949-04-25"", ""SeqA"": 140, ""SeqB"": 147, ""SpeechA"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)||140"", ""SpeechB"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)||147""}, {""MeetingID"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)"", ""Date"": ""1949-04-25"", ""SeqA"": 147, ""SeqB"": 148, ""SpeechA"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)||147"", ""SpeechB"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)||148""}, {""MeetingID"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)"", ""Date"": ""1949-04-25"", ""SeqA"": 148, ""SeqB"": 159, ""SpeechA"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)||148"", ""SpeechB"": ""1949-04-25||제1대국회 제2회(정기회) 제84차 국회본회의(전체회의)||159""}]"
김준연의원,의장이기붕,24,"[{""MeetingID"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)"", ""Date"": ""1954-06-16"", ""SeqA"": 101, ""SeqB"": 103, ""SpeechA"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)||101"", ""SpeechB"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)||103""}, {""MeetingID"": ""1954-06-28||제3대국회 제19회(임시회) 제11차 국회본회의(전체회의)"", ""Date"": ""1954-06-28"", ""SeqA"": 41, ""SeqB"": 43, ""SpeechA"": ""1954-06-28||제3대국회 제19회(임시회) 제11차 국회본회의(전체회의)||41"", ""SpeechB"": ""1954-06-28||제3대국회 제19회(임시회) 제11차 국회본회의(전체회의)||43""}, {""MeetingID"": ""1954-12-09||제3대국회 제19회(임시회) 제100차 국회본회의(전체회의)"", ""Date"": ""1954-12-09"", ""SeqA"": 92, ""SeqB"": 93, ""SpeechA"": ""1954-12-09||제3대국회 제19회(임시회) 제100차 국회본회의(전체회의)||92"", ""SpeechB"": ""1954-12-09||제3대국회 제19회(임시회) 제100차 국회본회의(전체회의)||93""}]"
노기용의원,의장신익희,24,"[{""MeetingID"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)"", ""Date"": ""1950-12-15"", ""SeqA"": 136, ""SeqB"": 137, ""SpeechA"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)||136"", ""SpeechB"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)||137""}, {""MeetingID"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)"", ""Date"": ""1950-12-15"", ""SeqA"": 137, ""SeqB"": 139, ""SpeechA"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)||137"", ""SpeechB"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)||139""}, {""MeetingID"": ""1950-12-22||제2대국회 제10회(정기회) 제2차 국회본회의(전체회의)"", ""Date"": ""1950-12-22"", ""SeqA"": 32, ""SeqB"": 33, ""SpeechA"": ""1950-12-22||제2대국회 제10회(정기회) 제2차 국회본회의(전체회의)||32"", ""SpeechB"": ""1950-12-22||제2대국회 제10회(정기회) 제2차 국회본회의(전체회의)||33""}]"
의장이기붕,총무국장서임수,24,"[{""MeetingID"": ""1955-08-01||제3대국회 제20회(정기회) 폐회식 국회본회의(전체회의)"", ""Date"": ""1955-08-01"", ""SeqA"": 26, ""SeqB"": 33, ""SpeechA"": ""1955-08-01||제3대국회 제20회(정기회) 폐회식 국회본회의(전체회의)||26"", ""SpeechB"": ""1955-08-01||제3대국회 제20회(정기회) 폐회식 국회본회의(전체회의)||33""}, {""MeetingID"": ""1955-08-01||제3대국회 제20회(정기회) 폐회식 국회본회의(전체회의)"", ""Date"": ""1955-08-01"", ""SeqA"": 33, ""SeqB"": 34, ""SpeechA"": ""1955-08-01||제3대국회 제20회(정기회) 폐회식 국회본회의(전체회의)||33"", ""SpeechB"": ""1955-08-01||제3대국회 제20회(정기회) 폐회식 국회본회의(전체회의)||34""}, {""MeetingID"": ""1955-09-15||제3대국회 제21회(임시회) 개회식 국회본회의(전체회의)"", ""Date"": ""1955-09-15"", ""SeqA"": 22, ""SeqB"": 27, ""SpeechA"": ""1955-09-15||제3대국회 제21회(임시회) 개회식 국회본회의(전체회의)||22"", ""SpeechB"": ""1955-09-15||제3대국회 제21회(임시회) 개회식 국회본회의(전체회의)||27""}]"
부의장이재학,이종남의원,24,"[{""MeetingID"": ""1958-06-30||제4대국회 제29회(임시회) 제14차 국회본회의(전체회의)"", ""Date"": ""1958-06-30"", ""SeqA"": 96, ""SeqB"": 97, ""SpeechA"": ""1958-06-30||제4대국회 제29회(임시회) 제14차 국회본회의(전체회의)||96"", ""SpeechB"": ""1958-06-30||제4대국회 제29회(임시회) 제14차 국회본회의(전체회의)||97""}, {""MeetingID"": ""1958-06-30||제4대국회 제29회(임시회) 제14차 국회본회의(전체회의)"", ""Date"": ""1958-06-30"", ""SeqA"": 97, ""SeqB"": 98, ""SpeechA"": ""1958-06-30||제4대국회 제29회(임시회) 제14차 국회본회의(전체회의)||97"", ""SpeechB"": ""1958-06-30||제4대국회 제29회(임시회) 제14차 국회본회의(전체회의)||98""}, {""MeetingID"": ""1958-08-09||제4대국회 제29회(임시회) 제28차 국회본회의(전체회의)"", ""Date"": ""1958-08-09"", ""SeqA"": 239, ""SeqB"": 240, ""SpeechA"": ""1958-08-09||제4대국회 제29회(임시회) 제28차 국회본회의(전체회의)||239"", ""SpeechB"": ""1958-08-09||제4대국회 제29회(임시회) 제28차 국회본회의(전체회의)||240""}]"
김익로의원,의장신익희,24,"[{""MeetingID"": ""1948-08-31||제1대국회 제1회(임시회) 제53차 국회본회의(전체회의)"", ""Date"": ""1948-08-31"", ""SeqA"": 86, ""SeqB"": 87, ""SpeechA"": ""1948-08-31||제1대국회 제1회(임시회) 제53차 국회본회의(전체회의)||86"", ""SpeechB"": ""1948-08-31||제1대국회 제1회(임시회) 제53차 국회본회의(전체회의)||87""}, {""MeetingID"": ""1948-08-31||제1대국회 제1회(임시회) 제53차 국회본회의(전체회의)"", ""Date"": ""1948-08-31"", ""SeqA"": 87, ""SeqB"": 88, ""SpeechA"": ""1948-08-31||제1대국회 제1회(임시회) 제53차 국회본회의(전체회의)||87"", ""SpeechB"": ""1948-08-31||제1대국회 제1회(임시회) 제53차 국회본회의(전체회의)||88""}, {""MeetingID"": ""1949-04-27||제1대국회 제2회(정기회) 제86차 국회본회의(전체회의)"", ""Date"": ""1949-04-27"", ""SeqA"": 391, ""SeqB"": 394, ""SpeechA"": ""1949-04-27||제1대국회 제2회(정기회) 제86차 국회본회의(전체회의)||391"", ""SpeechB"": ""1949-04-27||제1대국회 제2회(정기회) 제86차 국회본회의(전체회의)||394""}]"
부의장김동원,전문위원유진오,24,"[{""MeetingID"": ""1948-06-23||제1대국회 제1회(임시회) 제17차 국회본회의(전체회의)"", ""Date"": ""1948-06-23"", ""SeqA"": 107, ""SeqB"": 108, ""SpeechA"": ""1948-06-23||제1대국회 제1회(임시회) 제17차 국회본회의(전체회의)||107"", ""SpeechB"": ""1948-06-23||제1대국회 제1회(임시회) 제17차 국회본회의(전체회의)||108""}, {""MeetingID"": ""1948-06-28||제1대국회 제1회(임시회) 제19차 국회본회의(전체회의)"", ""Date"": ""1948-06-28"", ""SeqA"": 32, ""SeqB"": 34, ""SpeechA"": ""1948-06-28||제1대국회 제1회(임시회) 제19차 국회본회의(전체회의)||32"", ""SpeechB"": ""1948-06-28||제1대국회 제1회(임시회) 제19차 국회본회의(전체회의)||34""}, {""MeetingID"": ""1948-06-28||제1대국회 제1회(임시회) 제19차 국회본회의(전체회의)"", ""Date"": ""1948-06-28"", ""SeqA"": 46, ""SeqB"": 47, ""SpeechA"": ""1948-06-28||제1대국회 제1회(임시회) 제19차 국회본회의(전체회의)||46"", ""SpeechB"": ""1948-06-28||제1대국회 제1회(임시회) 제19차 국회본회의(전체회의)||47""}]"
부의장한희석,이영희의원,24,"[{""MeetingID"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)"", ""Date"": ""1958-07-11"", ""SeqA"": 1112, ""SeqB"": 1113, ""SpeechA"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)||1112"", ""SpeechB"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)||1113""}, {""MeetingID"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)"", ""Date"": ""1958-07-11"", ""SeqA"": 1113, ""SeqB"": 1114, ""SpeechA"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)||1113"", ""SpeechB"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)||1114""}, {""MeetingID"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)"", ""Date"": ""1958-07-11"", ""SeqA"": 1125, ""SeqB"": 1126, ""SpeechA"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)||1125"", ""SpeechB"": ""1958-07-11||제4대국회 제29회(임시회) 제19차 국회본회의(전체회의)||1126""}]"
외무부장관조정환,위원장최용근,24,"[{""MeetingID"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)"", ""Date"": ""1958-12-15"", ""SeqA"": 104, ""SeqB"": 109, ""SpeechA"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)||104"", ""SpeechB"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)||109""}, {""MeetingID"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)"", ""Date"": ""1958-12-15"", ""SeqA"": 109, ""SeqB"": 110, ""SpeechA"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)||109"", ""SpeechB"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)||110""}, {""MeetingID"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)"", ""Date"": ""1958-12-15"", ""SeqA"": 148, ""SeqB"": 149, ""SpeechA"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)||148"", ""SpeechB"": ""1958-12-15||제4대국회 제30회(정기회) 제3차 예산결산위원회(전체회의)||149""}]"
남송학의원,부의장장택상,24,"[{""MeetingID"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)"", ""Date"": ""1951-02-24"", ""SeqA"": 65, ""SeqB"": 69, ""SpeechA"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)||65"", ""SpeechB"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)||69""}, {""MeetingID"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)"", ""Date"": ""1951-02-24"", ""SeqA"": 69, ""SeqB"": 70, ""SpeechA"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)||69"", ""SpeechB"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)||70""}, {""MeetingID"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)"", ""Date"": ""1951-02-24"", ""SeqA"": 70, ""SeqB"": 71, ""SpeechA"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)||70"", ""SpeechB"": ""1951-02-24||제2대국회 제10회(정기회) 제33차 국회본회의(전체회의)||71""}]"
강승구의원,의장이기붕,23,"[{""MeetingID"": ""1954-12-04||제3대국회 제19회(임시회) 제96차 국회본회의(전체회의)"", ""Date"": ""1954-12-04"", ""SeqA"": 182, ""SeqB"": 186, ""SpeechA"": ""1954-12-04||제3대국회 제19회(임시회) 제96차 국회본회의(전체회의)||182"", ""SpeechB"": ""1954-12-04||제3대국회 제19회(임시회) 제96차 국회본회의(전체회의)||186""}, {""MeetingID"": ""1954-12-04||제3대국회 제19회(임시회) 제96차 국회본회의(전체회의)"", ""Date"": ""1954-12-04"", ""SeqA"": 186, ""SeqB"": 189, ""SpeechA"": ""1954-12-04||제3대국회 제19회(임시회) 제96차 국회본회의(전체회의)||186"", ""SpeechB"": ""1954-12-04||제3대국회 제19회(임시회) 제96차 국회본회의(전체회의)||189""}, {""MeetingID"": ""1954-12-16||제3대국회 제19회(임시회) 제105차 국회본회의(전체회의)"", ""Date"": ""1954-12-16"", ""SeqA"": 51, ""SeqB"": 54, ""SpeechA"": ""1954-12-16||제3대국회 제19회(임시회) 제105차 국회본회의(전체회의)||51"", ""SpeechB"": ""1954-12-16||제3대국회 제19회(임시회) 제105차 국회본회의(전체회의)||54""}]"
김상돈의원,부의장황성수,23,"[{""MeetingID"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)"", ""Date"": ""1956-06-21"", ""SeqA"": 74, ""SeqB"": 75, ""SpeechA"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)||74"", ""SpeechB"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)||75""}, {""MeetingID"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)"", ""Date"": ""1956-06-21"", ""SeqA"": 75, ""SeqB"": 76, ""SpeechA"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)||75"", ""SpeechB"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)||76""}, {""MeetingID"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)"", ""Date"": ""1956-06-21"", ""SeqA"": 103, ""SeqB"": 104, ""SpeechA"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)||103"", ""SpeechB"": ""1956-06-21||제3대국회 제22회(정기회) 제37차 국회본회의(전체회의)||104""}]"
박영종의원(계속),부의장이재학,23,"[{""MeetingID"": ""1957-04-30||제3대국회 제24회(임시회) 제31차 국회본회의(전체회의)"", ""Date"": ""1957-04-30"", ""SeqA"": 38, ""SeqB"": 39, ""SpeechA"": ""1957-04-30||제3대국회 제24회(임시회) 제31차 국회본회의(전체회의)||38"", ""SpeechB"": ""1957-04-30||제3대국회 제24회(임시회) 제31차 국회본회의(전체회의)||39""}, {""MeetingID"": ""1957-04-30||제3대국회 제24회(임시회) 제31차 국회본회의(전체회의)"", ""Date"": ""1957-04-30"", ""SeqA"": 39, ""SeqB"": 224, ""SpeechA"": ""1957-04-30||제3대국회 제24회(임시회) 제31차 국회본회의(전체회의)||39"", ""SpeechB"": ""1957-04-30||제3대국회 제24회(임시회) 제31차 국회본회의(전체회의)||224""}, {""MeetingID"": ""1957-06-17||제3대국회 제25회(임시회) 제13차 국회본회의(전체회의)"", ""Date"": ""1957-06-17"", ""SeqA"": 118, ""SeqB"": 119, ""SpeechA"": ""1957-06-17||제3대국회 제25회(임시회) 제13차 국회본회의(전체회의)||118"", ""SpeechB"": ""1957-06-17||제3대국회 제25회(임시회) 제13차 국회본회의(전체회의)||119""}]"
민관식위원,증인신도철,23,"[{""MeetingID"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)"", ""Date"": ""1959-06-11"", ""SeqA"": 196, ""SeqB"": 197, ""SpeechA"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)||196"", ""SpeechB"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)||197""}, {""MeetingID"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)"", ""Date"": ""1959-06-11"", ""SeqA"": 197, ""SeqB"": 198, ""SpeechA"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)||197"", ""SpeechB"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)||198""}, {""MeetingID"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)"", ""Date"": ""1959-06-11"", ""SeqA"": 200, ""SeqB"": 201, ""SpeechA"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)||200"", ""SpeechB"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 사회보건위원회(전체회의)||201""}]"
박병배위원,헌병사령관원용덕,23,"[{""MeetingID"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)"", ""Date"": ""1959-06-11"", ""SeqA"": 75, ""SeqB"": 76, ""SpeechA"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)||75"", ""SpeechB"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)||76""}, {""MeetingID"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)"", ""Date"": ""1959-06-11"", ""SeqA"": 76, ""SeqB"": 77, ""SpeechA"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)||76"", ""SpeechB"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)||77""}, {""MeetingID"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)"", ""Date"": ""1959-06-11"", ""SeqA"": 77, ""SeqB"": 78, ""SpeechA"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)||77"", ""SpeechB"": ""1959-06-11||제4대국회 제32회(임시회) 제1차 국방위원회(전체회의)||78""}]"
부의장윤치영,태완선의원,23,"[{""MeetingID"": ""1952-07-16||제2대국회 제13회(임시회) 제9차 국회본회의(전체회의)"", ""Date"": ""1952-07-16"", ""SeqA"": 52, ""SeqB"": 53, ""SpeechA"": ""1952-07-16||제2대국회 제13회(임시회) 제9차 국회본회의(전체회의)||52"", ""SpeechB"": ""1952-07-16||제2대국회 제13회(임시회) 제9차 국회본회의(전체회의)||53""}, {""MeetingID"": ""1952-07-16||제2대국회 제13회(임시회) 제9차 국회본회의(전체회의)"", ""Date"": ""1952-07-16"", ""SeqA"": 53, ""SeqB"": 54, ""SpeechA"": ""1952-07-16||제2대국회 제13회(임시회) 제9차 국회본회의(전체회의)||53"", ""SpeechB"": ""1952-07-16||제2대국회 제13회(임시회) 제9차 국회본회의(전체회의)||54""}, {""MeetingID"": ""1952-07-25||제2대국회 제13회(임시회) 제13차 국회본회의(전체회의)"", ""Date"": ""1952-07-25"", ""SeqA"": 39, ""SeqB"": 40, ""SpeechA"": ""1952-07-25||제2대국회 제13회(임시회) 제13차 국회본회의(전체회의)||39"", ""SpeechB"": ""1952-07-25||제2대국회 제13회(임시회) 제13차 국회본회의(전체회의)||40""}]"
