SpeakerA,SpeakerB,Weight,Examples
의장신익희,이진수의원,270,"[{""MeetingID"": ""1948-08-23||제1대국회 제1회(임시회) 제47차 국회본회의(전체회의)"", ""Date"": ""1948-08-23"", ""SeqA"": 123, ""SeqB"": 124, ""SpeechA"": ""1948-08-23||제1대국회 제1회(임시회) 제47차 국회본회의(전체회의)||123"", ""SpeechB"": ""1948-08-23||제1대국회 제1회(임시회) 제47차 국회본회의(전체회의)||124""}, {""MeetingID"": ""1948-08-23||제1대국회 제1회(임시회) 제47차 국회본회의(전체회의)"", ""Date"": ""1948-08-23"", ""SeqA"": 124, ""SeqB"": 131, ""SpeechA"": ""1948-08-23||제1대국회 제1회(임시회) 제47차 국회본회의(전체회의)||124"", ""SpeechB"": ""1948-08-23||제1대국회 제1회(임시회) 제47차 국회본회의(전체회의)||131""}, {""MeetingID"": ""1948-08-28||제1대국회 제1회(임시회) 제51차 국회본회의(전체회의)"", ""Date"": ""1948-08-28"", ""SeqA"": 145, ""SeqB"": 147, ""SpeechA"": ""1948-08-28||제1대국회 제1회(임시회) 제51차 국회본회의(전체회의)||145"", ""SpeechB"": ""1948-08-28||제1대국회 제1회(임시회) 제51차 국회본회의(전체회의)||147""}]"
의사국장서상준,의장이기붕,269,"[{""MeetingID"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)"", ""Date"": ""1954-06-16"", ""SeqA"": 16, ""SeqB"": 21, ""SpeechA"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)||16"", ""SpeechB"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)||21""}, {""MeetingID"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)"", ""Date"": ""1954-06-16"", ""SeqA"": 21, ""SeqB"": 93, ""SpeechA"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)||21"", ""SpeechB"": ""1954-06-16||제3대국회 제19회(임시회) 제4차 국회본회의(전체회의)||93""}, {""MeetingID"": ""1954-06-17||제3대국회 제19회(임시회) 제5차 국회본회의(전체회의)"", ""Date"": ""1954-06-17"", ""SeqA"": 18, ""SeqB"": 24, ""SpeechA"": ""1954-06-17||제3대국회 제19회(임시회) 제5차 국회본회의(전체회의)||18"", ""SpeechB"": ""1954-06-17||제3대국회 제19회(임시회) 제5차 국회본회의(전체회의)||24""}]"
의장신익희,재정경제위원장홍성하,253,"[{""MeetingID"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)"", ""Date"": ""1949-01-27"", ""SeqA"": 111, ""SeqB"": 116, ""SpeechA"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)||111"", ""SpeechB"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)||116""}, {""MeetingID"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)"", ""Date"": ""1949-01-27"", ""SeqA"": 116, ""SeqB"": 117, ""SpeechA"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)||116"", ""SpeechB"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)||117""}, {""MeetingID"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)"", ""Date"": ""1949-01-27"", ""SeqA"": 122, ""SeqB"": 123, ""SpeechA"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)||122"", ""SpeechB"": ""1949-01-27||제1대국회 제2회(정기회) 제15차 국회본회의(전체회의)||123""}]"
법제사법위원장대리장경근,부의장이재학,253,"[{""MeetingID"": ""1957-11-05||제3대국회 제26회(정기회) 제29차 국회본회의(전체회의)"", ""Date"": ""1957-11-05"", ""SeqA"": 38, ""SeqB"": 42, ""SpeechA"": ""1957-11-05||제3대국회 제26회(정기회) 제29차 국회본회의(전체회의)||38"", ""SpeechB"": ""1957-11-05||제3대국회 제26회(정기회) 제29차 국회본회의(전체회의)||42""}, {""MeetingID"": ""1957-11-07||제3대국회 제26회(정기회) 제31차 국회본회의(전체회의)"", ""Date"": ""1957-11-07"", ""SeqA"": 67, ""SeqB"": 68, ""SpeechA"": ""1957-11-07||제3대국회 제26회(정기회) 제31차 국회본회의(전체회의)||67"", ""SpeechB"": ""1957-11-07||제3대국회 제26회(정기회) 제31차 국회본회의(전체회의)||68""}, {""MeetingID"": ""1957-11-07||제3대국회 제26회(정기회) 제31차 국회본회의(전체회의)"", ""Date"": ""1957-11-07"", ""SeqA"": 81, ""SeqB"": 82, ""SpeechA"": ""1957-11-07||제3대국회 제26회(정기회) 제31차 국회본회의(전체회의)||81"", ""SpeechB"": ""1957-11-07||제3대국회 제26회(정기회) 제31차 국회본회의(전체회의)||82""}]"
위원장박흥규,이철승위원,237,"[{""MeetingID"": ""1958-07-23||제4대국회 제29회(임시회) 제2차 예산결산위원회(전체회의)"", ""Date"": ""1958-07-23"", ""SeqA"": 13, ""SeqB"": 14, ""SpeechA"": ""1958-07-23||제4대국회 제29회(임시회) 제2차 예산결산위원회(전체회의)||13"", ""SpeechB"": ""1958-07-23||제4대국회 제29회(임시회) 제2차 예산결산위원회(전체회의)||14""}, {""MeetingID"": ""1958-07-23||제4대국회 제29회(임시회) 제2차 예산결산위원회(전체회의)"", ""Date"": ""1958-07-23"", ""SeqA"": 14, ""SeqB"": 15, ""SpeechA"": ""1958-07-23||제4대국회 제29회(임시회) 제2차 예산결산위원회(전체회의)||14"", ""SpeechB"": ""1958-07-23||제4대국회 제29회(임시회) 제2차 예산결산위원회(전체회의)||15""}, {""MeetingID"": ""1958-07-24||제4대국회 제29회(임시회) 제3차 예산결산위원회(전체회의)"", ""Date"": ""1958-07-24"", ""SeqA"": 64, ""SeqB"": 65, ""SpeechA"": ""1958-07-24||제4대국회 제29회(임시회) 제3차 예산결산위원회(전체회의)||64"", ""SpeechB"": ""1958-07-24||제4대국회 제29회(임시회) 제3차 예산결산위원회(전체회의)||65""}]"
부의장윤치영,이진수의원,235,"[{""MeetingID"": ""1949-07-09||제1대국회 제4회(임시회) 제6차 국회본회의(전체회의)"", ""Date"": ""1949-07-09"", ""SeqA"": 150, ""SeqB"": 166, ""SpeechA"": ""1949-07-09||제1대국회 제4회(임시회) 제6차 국회본회의(전체회의)||150"", ""SpeechB"": ""1949-07-09||제1대국회 제4회(임시회) 제6차 국회본회의(전체회의)||166""}, {""MeetingID"": ""1949-07-09||제1대국회 제4회(임시회) 제6차 국회본회의(전체회의)"", ""Date"": ""1949-07-09"", ""SeqA"": 235, ""SeqB"": 236, ""SpeechA"": ""1949-07-09||제1대국회 제4회(임시회) 제6차 국회본회의(전체회의)||235"", ""SpeechB"": ""1949-07-09||제1대국회 제4회(임시회) 제6차 국회본회의(전체회의)||236""}, {""MeetingID"": ""1949-07-11||제1대국회 제4회(임시회) 제7차 국회본회의(전체회의)"", ""Date"": ""1949-07-11"", ""SeqA"": 97, ""SeqB"": 98, ""SpeechA"": ""1949-07-11||제1대국회 제4회(임시회) 제7차 국회본회의(전체회의)||97"", ""SpeechB"": ""1949-07-11||제1대국회 제4회(임시회) 제7차 국회본회의(전체회의)||98""}]"
법제사법위원장대리엄상섭,의장대리조봉암,233,"[{""MeetingID"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)"", ""Date"": ""1953-06-26"", ""SeqA"": 38, ""SeqB"": 59, ""SpeechA"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)||38"", ""SpeechB"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)||59""}, {""MeetingID"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)"", ""Date"": ""1953-06-26"", ""SeqA"": 59, ""SeqB"": 66, ""SpeechA"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)||59"", ""SpeechB"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)||66""}, {""MeetingID"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)"", ""Date"": ""1953-06-26"", ""SeqA"": 70, ""SeqB"": 81, ""SpeechA"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)||70"", ""SpeechB"": ""1953-06-26||제2대국회 제16회(임시회) 제10차 국회본회의(전체회의)||81""}]"
변진갑의원,부의장조경규,231,"[{""MeetingID"": ""1955-03-21||제3대국회 제20회(정기회) 제17차 국회본회의(전체회의)"", ""Date"": ""1955-03-21"", ""SeqA"": 62, ""SeqB"": 63, ""SpeechA"": ""1955-03-21||제3대국회 제20회(정기회) 제17차 국회본회의(전체회의)||62"", ""SpeechB"": ""1955-03-21||제3대국회 제20회(정기회) 제17차 국회본회의(전체회의)||63""}, {""MeetingID"": ""1955-03-21||제3대국회 제20회(정기회) 제17차 국회본회의(전체회의)"", ""Date"": ""1955-03-21"", ""SeqA"": 63, ""SeqB"": 64, ""SpeechA"": ""1955-03-21||제3대국회 제20회(정기회) 제17차 국회본회의(전체회의)||63"", ""SpeechB"": ""1955-03-21||제3대국회 제20회(정기회) 제17차 국회본회의(전체회의)||64""}, {""MeetingID"": ""1955-03-25||제3대국회 제20회(정기회) 제20차 국회본회의(전체회의)"", ""Date"": ""1955-03-25"", ""SeqA"": 39, ""SeqB"": 46, ""SpeechA"": ""1955-03-25||제3대국회 제20회(정기회) 제20차 국회본회의(전체회의)||39"", ""SpeechB"": ""1955-03-25||제3대국회 제20회(정기회) 제20차 국회본회의(전체회의)||46""}]"
박영종의원,부의장이재학,229,"[{""MeetingID"": ""1957-03-12||제3대국회 제24회(임시회) 제6차 국회본회의(전체회의)"", ""Date"": ""1957-03-12"", ""SeqA"": 179, ""SeqB"": 180, ""SpeechA"": ""1957-03-12||제3대국회 제24회(임시회) 제6차 국회본회의(전체회의)||179"", ""SpeechB"": ""1957-03-12||제3대국회 제24회(임시회) 제6차 국회본회의(전체회의)||180""}, {""MeetingID"": ""1957-03-13||제3대국회 제24회(임시회) 제7차 국회본회의(전체회의)"", ""Date"": ""1957-03-13"", ""SeqA"": 52, ""SeqB"": 53, ""SpeechA"": ""1957-03-13||제3대국회 제24회(임시회) 제7차 국회본회의(전체회의)||52"", ""SpeechB"": ""1957-03-13||제3대국회 제24회(임시회) 제7차 국회본회의(전체회의)||53""}, {""MeetingID"": ""1957-03-13||제3대국회 제24회(임시회) 제7차 국회본회의(전체회의)"", ""Date"": ""1957-03-13"", ""SeqA"": 53, ""SeqB"": 54, ""SpeechA"": ""1957-03-13||제3대국회 제24회(임시회) 제7차 국회본회의(전체회의)||53"", ""SpeechB"": ""1957-03-13||제3대국회 제24회(임시회) 제7차 국회본회의(전체회의)||54""}]"
의사국장서상준,의장신익희,227,"[{""MeetingID"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)"", ""Date"": ""1950-12-15"", ""SeqA"": 191, ""SeqB"": 192, ""SpeechA"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)||191"", ""SpeechB"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)||192""}, {""MeetingID"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)"", ""Date"": ""1950-12-15"", ""SeqA"": 192, ""SeqB"": 193, ""SpeechA"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)||192"", ""SpeechB"": ""1950-12-15||제2대국회 제9회(임시회) 제5차 국회본회의(전체회의)||193""}, {""MeetingID"": ""1951-03-09||제2대국회 제10회(정기회) 제43차 국회본회의(전체회의)"", ""Date"": ""1951-03-09"", ""SeqA"": 19, ""SeqB"": 20, ""SpeechA"": ""1951-03-09||제2대국회 제10회(정기회) 제43차 국회본회의(전체회의)||19"", ""SpeechB"": ""1951-03-09||제2대국회 제10회(정기회) 제43차 국회본회의(전체회의)||20""}]"
