정당,기술,소득,노동,이민,이주,외국인
자유당,8.764181523500811,17.58508914100486,0.733387358184765,0.45380875202593196,0.6260129659643436,1.0008103727714748
무소속,10.642596036683127,20.781761046623483,2.58769960879882,1.2986596549733855,1.3627909959597255,1.8020906817161546
민주당,11.224983860555197,19.980632666236282,1.8237572627501613,0.9280180761781794,1.0490639122014203,1.8963847643641059
한국민주당,5.099700017646021,9.025939650608787,0.9175930827598375,0.48526557261337566,0.3440974060349391,0.7411328745367919
대한국민당,3.142909964873359,10.029580329081162,1.451284895544463,0.4159733777038269,0.674801257163986,0.4621926418931411
대한독립촉성국민회,4.613250086715228,8.75245693143716,0.6821597872586427,1.1908891201294947,0.5087293328708521,0.6243496357960457
민주국민당,7.381449448255293,16.298836862511184,2.1175067104085894,1.0885773933790635,0.9841932597673724,1.4762898896510588
조선공화당,0.7572172266919073,2.224325603407477,0.0,0.09465215333648841,0.047326076668244205,0.28395646000946523
대동청년당,7.828655834564254,10.3397341211226,1.4771048744460855,1.7725258493353029,0.7385524372230428,1.329394387001477
조선민족청년단,19.78021978021978,20.659340659340657,1.9780219780219779,0.43956043956043955,0.6593406593406593,1.3186813186813187
대한청년단,15.030674846625766,32.515337423312886,6.441717791411043,1.2269938650306749,4.601226993865031,2.147239263803681
국민당,18.218623481781375,28.74493927125506,2.0242914979757085,0.4048582995951417,0.8097165991902834,2.42914979757085
