,1948-06,1948-07,1948-08,1948-09,1948-10,1948-11,1948-12,1949-01,1949-02,1949-03,1949-04,1949-05,1949-06,1949-07,1949-08,1949-09,1949-10,1949-11,1949-12,1950-01,1950-02,1950-03,1950-04,1950-06,1950-10,1950-11,1950-12,1951-01,1951-02,1951-03,1951-04,1951-05,1951-06,1951-07,1951-08,1951-09,1951-10,1951-11,1951-12,1952-01,1952-02,1952-03,1952-04,1952-05,1952-06,1952-07,1952-08,1952-09,1952-10,1952-11,1952-12,1953-01,1953-02,1953-03,1953-04,1953-05,1953-06,1953-07,1953-08,1953-09,1953-10,1953-11,1953-12,1954-01,1954-02,1954-03,1954-04,1954-05,1954-06,1954-07,1954-08,1954-09,1954-10,1954-11,1954-12,1955-01,1955-02,1955-03,1955-04,1955-05,1955-06,1955-07,1955-08,1955-09,1955-10,1955-11,1955-12,1956-01,1956-02,1956-03,1956-04,1956-05,1956-06,1956-07,1956-08,1956-09,1956-10,1956-11,1956-12,1957-01,1957-02,1957-03,1957-04,1957-05,1957-06,1957-07,1957-08,1957-09,1957-10,1957-11,1957-12,1958-01,1958-02,1958-03,1958-04,1958-05,1958-06,1958-07,1958-08,1958-09,1958-10,1958-11,1958-12,1959-01,1959-02,1959-03,1959-04,1959-05,1959-06,1959-07,1959-09,1959-10,1959-11,1959-12,1960-01,1960-02,1960-03,1960-04
기술,84.0,135.0,77.0,253.0,139.0,95.0,79.0,67.0,110.0,285.0,370.0,76.0,57.0,170.0,8.0,87.0,115.0,563.0,136.0,288.0,149.0,232.0,403.0,25.0,8.0,136.0,17.0,55.0,90.0,177.0,233.0,116.0,82.0,96.0,178.0,112.0,79.0,163.0,153.0,59.0,35.0,358.0,147.0,55.0,32.0,42.0,57.0,206.0,33.0,179.0,97.0,102.0,122.0,106.0,196.0,85.0,99.0,112.0,16.0,115.0,121.0,297.0,34.0,61.0,302.0,350.0,204.0,9.0,14.0,120.0,189.0,199.0,259.0,125.0,396.0,280.0,40.0,136.0,173.0,315.0,730.0,621.0,31.0,98.0,145.0,220.0,161.0,179.0,220.0,37.0,6.0,61.0,129.0,602.0,127.0,25.0,147.0,50.0,734.0,104.0,75.0,244.0,100.0,23.0,192.0,230.0,83.0,129.0,90.0,167.0,673.0,21.0,301.0,2.0,15.0,1.0,123.0,1167.0,799.0,112.0,220.0,1017.0,721.0,0.0,36.0,30.0,28.0,159.0,406.0,47.0,18.0,190.0,1614.0,946.0,295.0,2.0,35.0,39.0
소득,136.0,176.0,56.0,252.0,127.0,95.0,113.0,178.0,194.0,736.0,718.0,96.0,108.0,248.0,12.0,220.0,186.0,582.0,230.0,294.0,360.0,643.0,772.0,37.0,8.0,409.0,48.0,181.0,207.0,843.0,906.0,261.0,209.0,167.0,351.0,306.0,211.0,309.0,464.0,78.0,47.0,569.0,480.0,88.0,61.0,83.0,110.0,203.0,119.0,452.0,310.0,239.0,304.0,486.0,592.0,141.0,104.0,85.0,32.0,150.0,244.0,270.0,67.0,134.0,350.0,808.0,214.0,25.0,37.0,173.0,212.0,415.0,973.0,233.0,386.0,250.0,51.0,227.0,320.0,841.0,1563.0,1418.0,39.0,379.0,212.0,530.0,437.0,510.0,680.0,53.0,7.0,96.0,379.0,1200.0,258.0,39.0,230.0,140.0,1390.0,208.0,101.0,284.0,143.0,52.0,258.0,381.0,143.0,244.0,210.0,287.0,1808.0,43.0,147.0,2.0,22.0,0.0,165.0,2156.0,1269.0,93.0,584.0,1979.0,1237.0,0.0,85.0,203.0,31.0,212.0,481.0,119.0,34.0,310.0,2478.0,1863.0,183.0,5.0,32.0,19.0
노동,34.0,80.0,5.0,24.0,15.0,8.0,13.0,7.0,4.0,31.0,47.0,5.0,4.0,44.0,0.0,16.0,17.0,150.0,15.0,19.0,39.0,31.0,30.0,3.0,1.0,18.0,0.0,2.0,8.0,75.0,25.0,12.0,10.0,24.0,6.0,10.0,31.0,82.0,31.0,14.0,27.0,47.0,9.0,6.0,9.0,17.0,3.0,19.0,33.0,17.0,107.0,380.0,195.0,63.0,215.0,87.0,20.0,8.0,1.0,16.0,7.0,8.0,1.0,0.0,22.0,36.0,10.0,1.0,0.0,21.0,56.0,24.0,21.0,18.0,32.0,25.0,13.0,16.0,16.0,25.0,50.0,52.0,6.0,5.0,13.0,21.0,3.0,11.0,21.0,5.0,2.0,9.0,21.0,23.0,8.0,5.0,59.0,4.0,74.0,4.0,6.0,30.0,8.0,4.0,44.0,30.0,11.0,12.0,5.0,12.0,63.0,4.0,14.0,0.0,3.0,0.0,7.0,116.0,72.0,3.0,18.0,69.0,56.0,0.0,5.0,2.0,2.0,23.0,176.0,110.0,0.0,12.0,124.0,129.0,2.0,0.0,3.0,7.0
이민,70.0,54.0,58.0,87.0,46.0,40.0,26.0,18.0,17.0,20.0,40.0,10.0,15.0,12.0,0.0,5.0,52.0,29.0,7.0,32.0,36.0,22.0,11.0,9.0,1.0,41.0,13.0,18.0,11.0,20.0,7.0,24.0,4.0,7.0,10.0,8.0,18.0,10.0,7.0,7.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,3.0,38.0,5.0,7.0,3.0,5.0,8.0,6.0,6.0,2.0,4.0,3.0,7.0,13.0,1.0,7.0,18.0,6.0,4.0,0.0,6.0,11.0,14.0,12.0,12.0,17.0,10.0,13.0,1.0,4.0,11.0,16.0,10.0,15.0,0.0,3.0,25.0,3.0,12.0,7.0,13.0,5.0,4.0,2.0,8.0,15.0,7.0,11.0,8.0,10.0,14.0,6.0,0.0,3.0,25.0,0.0,10.0,21.0,28.0,10.0,23.0,5.0,36.0,1.0,9.0,0.0,0.0,0.0,5.0,39.0,54.0,0.0,3.0,12.0,26.0,0.0,20.0,10.0,13.0,8.0,79.0,20.0,3.0,13.0,29.0,80.0,10.0,0.0,5.0,10.0
이주,6.0,6.0,6.0,27.0,7.0,8.0,6.0,8.0,17.0,20.0,14.0,12.0,21.0,15.0,7.0,3.0,6.0,17.0,6.0,8.0,18.0,32.0,8.0,11.0,1.0,46.0,18.0,42.0,67.0,52.0,39.0,42.0,15.0,48.0,25.0,20.0,51.0,25.0,44.0,8.0,7.0,22.0,13.0,21.0,18.0,12.0,5.0,16.0,21.0,21.0,35.0,7.0,13.0,4.0,18.0,11.0,23.0,14.0,2.0,18.0,19.0,22.0,11.0,16.0,13.0,19.0,7.0,11.0,1.0,13.0,8.0,15.0,14.0,8.0,14.0,16.0,7.0,9.0,6.0,23.0,40.0,19.0,7.0,3.0,14.0,6.0,2.0,13.0,20.0,2.0,1.0,1.0,19.0,28.0,8.0,4.0,17.0,20.0,55.0,18.0,12.0,10.0,12.0,13.0,20.0,18.0,14.0,7.0,10.0,23.0,35.0,9.0,17.0,0.0,11.0,0.0,19.0,71.0,51.0,4.0,41.0,80.0,55.0,0.0,14.0,3.0,1.0,25.0,29.0,17.0,3.0,16.0,98.0,56.0,22.0,0.0,18.0,14.0
외국인,19.0,18.0,11.0,69.0,21.0,39.0,21.0,30.0,15.0,20.0,14.0,7.0,6.0,21.0,0.0,12.0,12.0,37.0,9.0,18.0,28.0,32.0,37.0,2.0,2.0,19.0,8.0,11.0,17.0,21.0,22.0,22.0,12.0,18.0,13.0,4.0,23.0,22.0,9.0,4.0,13.0,26.0,7.0,13.0,7.0,11.0,5.0,6.0,5.0,29.0,8.0,8.0,6.0,9.0,20.0,11.0,8.0,31.0,5.0,7.0,17.0,19.0,1.0,14.0,12.0,13.0,8.0,2.0,0.0,10.0,24.0,43.0,36.0,35.0,23.0,15.0,8.0,23.0,19.0,33.0,35.0,53.0,1.0,15.0,9.0,16.0,10.0,11.0,23.0,6.0,3.0,6.0,7.0,46.0,8.0,6.0,20.0,18.0,50.0,10.0,7.0,13.0,30.0,2.0,24.0,31.0,16.0,17.0,33.0,21.0,73.0,0.0,10.0,0.0,0.0,0.0,5.0,187.0,48.0,7.0,34.0,138.0,82.0,0.0,7.0,10.0,4.0,20.0,43.0,15.0,0.0,23.0,164.0,101.0,34.0,1.0,4.0,22.0
