성별,발전,경계,발전+경계,미분류,전체,관련발언,관련비중,발전비중,경계비중
여,129,13,16,220,378,158,41.7989417989418,34.12698412698413,3.439153439153439
남,25160,1492,2066,106934,135652,28718,21.170347654291866,18.547459676230353,1.0998732049656474
미상,36884,2134,1332,503516,543866,40350,7.419106912364443,6.781817580065678,0.39237606322145524
