FileName,Title,Date,Status,Error
제14대국회 1995년도 국정감사 통일외무위원회(전체회의) (1995.10.04.).hwp,제14대국회 1995년도 국정감사 통일외무위원회(전체회의),1995-10-04,실패,BodyText/Section을 찾지 못했습니다.
제14대국회 1995년도 국정감사 법제사법위원회(전체회의) (1995.10.06.).hwp,제14대국회 1995년도 국정감사 법제사법위원회(전체회의),1995-10-06,실패,incomplete OLE sector
제14대국회 1995년도 국정감사 통일외무위원회(전체회의) (1995.10.06.).hwp,제14대국회 1995년도 국정감사 통일외무위원회(전체회의),1995-10-06,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제15대국회 1998년도 국정감사 법제사법위원회(전체회의) (1998.10.23.).hwp,제15대국회 1998년도 국정감사 법제사법위원회(전체회의),1998-10-23,실패,"['BodyText', 'Section0']: HWP record 파싱 실패 - record payload가 Section 범위를 벗어났습니다 (offset=112444, size=4001, length=116224)"
제15대국회 1999년도 국정감사 재정경제위원회(전체회의) (1999.10.08.).hwp,제15대국회 1999년도 국정감사 재정경제위원회(전체회의),1999-10-08,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제16대국회 2001년도 국정감사 교육위원회(2) (2001.09.17.).hwp,제16대국회 2001년도 국정감사 교육위원회(2),2001-09-17,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제16대국회 2001년도 국정감사 농림해양수산위원회(전체회의) (2001.09.24.).hwp,제16대국회 2001년도 국정감사 농림해양수산위원회(전체회의),2001-09-24,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제20대국회 2017년도 국정감사 교육문화체육관광위원회(전체회의) (2017.10.24.).hwp,제20대국회 2017년도 국정감사 교육문화체육관광위원회(전체회의),2017-10-24,실패,BodyText/Section을 찾지 못했습니다.
제22대국회 제417회(임시회) 제1차 보건복지위원회(법안심사제1소위원회) (2024.08.22.).hwp,제22대국회 제417회(임시회) 제1차 보건복지위원회(법안심사제1소위원회),2024-08-22,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제22대국회 2024년도 국정감사 행정안전위원회(전체회의) (2024.10.17.).hwp,제22대국회 2024년도 국정감사 행정안전위원회(전체회의),2024-10-17,실패,BodyText/Section을 찾지 못했습니다.
제22대국회 2024년도 국정감사 교육위원회(전체회의) (2024.10.18.).hwp,제22대국회 2024년도 국정감사 교육위원회(전체회의),2024-10-18,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제22대국회 제423회(임시회) 제1차 여성가족위원회(청원심사소위원회) (2025.04.03.).hwp,제22대국회 제423회(임시회) 제1차 여성가족위원회(청원심사소위원회),2025-04-03,실패,incomplete OLE sector
제22대국회 제429회(정기회) 제16차 국회본회의(전체회의) (2025.12.09.).hwp,제22대국회 제429회(정기회) 제16차 국회본회의(전체회의),2025-12-09,실패,incomplete OLE sector
제22대국회 제430회(임시회) 제1차 국토교통위원회(전체회의) (2025.12.10.).hwp,제22대국회 제430회(임시회) 제1차 국토교통위원회(전체회의),2025-12-10,실패,incomplete OLE sector
제22대국회 제430회(임시회) 제1차 기후에너지환경노동위원회(전체회의) (2025.12.16.).hwp,제22대국회 제430회(임시회) 제1차 기후에너지환경노동위원회(전체회의),2025-12-16,실패,incomplete OLE sector
