Assembly_Num,Speaker,직책,Party,지역,소속위원회,당선횟수,기술,소득,노동,이민,이주,외국인,발언횟수,총어절수,기술_회기수,소득_회기수,노동_회기수,이민_회기수,이주_회기수,외국인_회기수,기술_빈도_1만어절당,소득_빈도_1만어절당,노동_빈도_1만어절당,이민_빈도_1만어절당,이주_빈도_1만어절당,외국인_빈도_1만어절당
제3대,정준모,보건사회부장관,자유당,전북 장수군,"",재선,30,2,41,0,0,0,34,18456,7,3,8,0,0,0,16.25,1.08,22.21,0.0,0.0,0.0
제2대,오의관,의원,무소속,경기 옹진을,"",초선,5,6,41,0,0,0,177,26456,4,2,8,0,0,0,1.89,2.27,15.5,0.0,0.0,0.0
제2대,서상준,의사국장,"","","","",6,2,37,17,1,3,386,90022,4,2,10,4,1,2,0.67,0.22,4.11,1.89,0.11,0.33
제2대,장홍염,의원,민주국민당,전남 무안을,"",재선,0,4,36,0,0,1,86,25048,0,2,5,0,0,1,0.0,1.6,14.37,0.0,0.0,0.4
제4대,"","","","","","",552,104,36,32,3,43,7862,687083,138,25,25,10,3,18,8.03,1.51,0.52,0.47,0.04,0.63
제2대,김용우,의원,무소속,서울 서대문구갑,"",초선,3,7,36,0,0,1,87,22417,9,2,20,0,0,1,1.34,3.12,16.06,0.0,0.0,0.45
제2대,김봉재,의원,무소속,경남 창원을,"",재선,4,5,35,0,0,0,113,40914,4,2,5,0,0,0,0.98,1.22,8.55,0.0,0.0,0.0
제헌,"",산업위원장,"","","","",44,1,34,0,4,1,378,58088,35,14,13,1,8,13,7.57,0.17,5.85,0.0,0.69,0.17
제2대,김영선,의원,무소속,충남 보령군,"",3선,14,42,32,0,0,0,38,25941,5,9,7,0,0,0,5.4,16.19,12.34,0.0,0.0,0.0
제헌,이진수,의원,무소속,경기 양주을,"",재선,65,6,28,0,3,7,766,81517,20,4,9,0,1,3,7.97,0.74,3.43,0.0,0.37,0.86
제4대,계광순,위원,민주당,강원 춘천,"",3선,18,5,28,0,0,0,35,31201,6,2,3,0,0,0,5.77,1.6,8.97,0.0,0.0,0.0
제4대,유옥우,위원,민주당,전남 무안군을,"",5선,13,74,27,0,0,0,409,83611,6,15,6,0,0,1,1.55,8.85,3.23,0.0,0.0,0.0
제4대,이종수,보건사회부노동국장,자유당,경남 김해을,"",3선,0,0,27,0,0,0,2,661,1,1,2,0,0,0,0.0,0.0,408.47,0.0,0.0,0.0
제헌,황호현,의원,대한독립촉성국민회,강원 평창,"",3선,4,1,26,1,0,0,161,22460,4,1,5,1,0,0,1.78,0.45,11.58,0.45,0.0,0.0
제2대,최창순,사회부장관,"","","","",1,1,26,0,0,0,9,5147,1,1,1,0,0,0,1.94,1.94,50.51,0.0,0.0,0.0
제헌,김도연,의원,한국민주당,서울 서대문구,"",6선,1,0,26,0,0,0,39,5805,6,8,1,1,0,2,1.72,0.0,44.79,0.0,0.0,0.0
제2대,김정실,의원,무소속,경남 고성,"",초선,3,0,26,0,0,1,114,32922,3,0,3,0,0,1,0.91,0.0,7.9,0.0,0.0,0.3
제헌,이승만,의장,대한독립촉성국민회,서울 동대문구갑,"",초선,1,0,25,0,0,1,398,20311,1,0,3,0,0,1,0.49,0.0,12.31,0.0,0.0,0.49
제2대,유승준,의원,무소속,충남 홍성,"",재선,8,1,24,0,0,0,115,29841,7,1,5,0,0,0,2.68,0.34,8.04,0.0,0.0,0.0
제3대,윤형남,의원,무소속,전남 순천시,"",3선,5,18,24,0,0,4,151,54294,6,5,4,0,0,1,0.92,3.32,4.42,0.0,0.0,0.74
제헌,이석,의원,대한독립촉성국민회,경북 경주을,"",초선,0,9,24,0,0,0,88,6074,0,1,2,0,0,0,0.0,14.82,39.51,0.0,0.0,0.0
제3대,김영선,의원,자유당,충남 보령군,"",3선,11,26,24,1,0,0,42,36218,14,15,13,2,0,0,3.04,7.18,6.63,0.28,0.0,0.0
제3대,박재홍,의원,국민당,경남 김해갑,"",초선,10,6,24,0,0,0,113,56902,8,2,3,0,0,0,1.76,1.05,4.22,0.0,0.0,0.0
제헌,전진한,사회부장관,대한노동총연맹,경북 상주을,"",5선,3,0,24,0,2,0,2,4307,1,0,8,0,1,0,6.97,0.0,55.72,0.0,4.64,0.0
제4대,정성태,위원,민주당,전남 광주갑,"",6선,13,5,23,15,0,1,219,33598,6,3,6,4,0,1,3.87,1.49,6.85,4.46,0.0,0.3
제2대,조봉암,의원,대한국민당,경기 인천병,"",재선,3,0,23,0,0,2,66,21017,18,14,21,2,0,13,1.43,0.0,10.94,0.0,0.0,0.95
제3대,"","","","","","",254,197,22,19,14,46,2935,426841,94,35,22,8,8,20,5.95,4.62,0.52,0.45,0.33,1.08
제2대,강경옥,의원,무소속,제주 남제주군,"",3선,11,6,22,0,0,1,64,28326,6,3,6,0,0,1,3.88,2.12,7.77,0.0,0.0,0.35
제2대,안만복,의원,무소속,충남 서산을,"",재선,0,0,22,0,0,1,49,24090,0,0,4,0,0,1,0.0,0.0,9.13,0.0,0.0,0.42
제헌,박해극,의원,무소속,경남 밀양을,"",초선,1,0,22,0,15,3,132,23453,1,0,3,0,2,1,0.43,0.0,9.38,0.0,6.4,1.28
제2대,박종만,사무총장,"","","","",0,0,22,0,0,0,21,36915,0,0,5,0,0,0,0.0,0.0,5.96,0.0,0.0,0.0
제헌,조한백,의원,무소속,전북 김제갑,"",4선,28,0,21,0,3,0,313,51849,8,0,3,0,1,0,5.4,0.0,4.05,0.0,0.58,0.0
제3대,김두한,의원,무소속,서울 종로구을,"",재선,1,0,20,0,0,0,62,15354,1,0,5,0,0,0,0.65,0.0,13.03,0.0,0.0,0.0
제4대,송인상,재무부장관,"","","","",83,85,20,1,0,14,262,156529,37,32,17,1,0,5,5.3,5.43,1.28,0.06,0.0,0.89
제4대,나판수,위원,자유당,전남 무안갑,"",초선,4,0,20,1,0,0,208,15215,2,0,4,1,0,0,2.63,0.0,13.14,0.66,0.0,0.0
제4대,심상대,증인,"","","","",0,3,20,0,0,0,6,857,0,1,1,0,0,0,0.0,35.01,233.37,0.0,0.0,0.0
제3대,조경규,의원,자유당,경남 함안군,"",3선,0,0,20,0,0,0,28,14106,9,4,7,0,0,4,0.0,0.0,14.18,0.0,0.0,0.0
제헌,이재형,의원,무소속,경기 시흥,"",7선,1,7,19,0,2,0,109,34683,1,1,3,0,2,0,0.29,2.02,5.48,0.0,0.58,0.0
제2대,이용설,의원,무소속,경기 인천시갑,"",초선,7,0,19,0,0,0,65,23626,3,0,3,0,0,0,2.96,0.0,8.04,0.0,0.0,0.0
제4대,고담용,위원,민주당,제주 제주,"",재선,6,4,18,0,0,0,71,29211,5,2,1,0,0,0,2.05,1.37,6.16,0.0,0.0,0.0
제4대,주요한,위원,민주당,서울 중구갑,"",재선,64,22,18,0,0,6,205,83545,18,12,3,0,0,5,7.66,2.63,2.15,0.0,0.0,0.72
제3대,김상돈,의원,민주국민당,서울 마포구갑,"",4선,6,4,18,1,0,1,338,127861,4,4,9,1,0,1,0.47,0.31,1.41,0.08,0.0,0.08
제헌,강선명,의원,무소속,전남 목포,"",초선,13,2,18,0,1,0,81,26240,4,2,1,0,1,0,4.95,0.76,6.86,0.0,0.38,0.0
제2대,곽상훈,의원,무소속,경기 인천시을,"",5선,1,0,17,0,0,0,108,35044,1,0,2,0,0,0,0.29,0.0,4.85,0.0,0.0,0.0
제헌,허남수,의사국장,"","","","",15,25,17,1,4,11,197,73865,7,12,4,1,4,6,2.03,3.38,2.3,0.14,0.54,1.49
제4대,김원전,위원,자유당,전북 군산,"",초선,20,5,17,0,0,2,89,15689,6,2,3,0,0,2,12.75,3.19,10.84,0.0,0.0,1.27
제헌,이석주,의원,대한독립촉성국민회,전북 완주을,"",초선,13,0,17,0,2,0,250,32662,4,0,4,0,1,0,3.98,0.0,5.2,0.0,0.61,0.0
제헌,"","","","","","",66,132,17,1,4,20,968,164934,35,14,13,1,8,13,4.0,8.0,1.03,0.06,0.24,1.21
제3대,이기붕,의장,자유당,서울 서대문구을,"",재선,15,1,16,0,0,1,2416,110807,4,1,4,0,0,1,1.35,0.09,1.44,0.0,0.0,0.09
제2대,백남식,의원,대한독립촉성국민회,경북 상주을,"",재선,0,12,16,0,0,0,290,38010,0,8,5,0,0,0,0.0,3.16,4.21,0.0,0.0,0.0
제2대,박철웅,의원,무소속,전남 광주,"",3선,13,1,15,0,1,3,57,30248,6,1,7,0,1,2,4.3,0.33,4.96,0.0,0.33,0.99
