정당,Family,Month,Count
무소속,기술,1956-03,0
무소속,기술,1956-04,0
무소속,기술,1956-05,7
무소속,기술,1956-06,18
무소속,기술,1956-07,90
무소속,기술,1956-08,6
무소속,기술,1956-09,2
무소속,기술,1956-10,17
무소속,기술,1956-11,1
무소속,기술,1956-12,89
무소속,기술,1957-01,11
무소속,기술,1957-02,6
무소속,기술,1957-03,22
무소속,기술,1957-04,13
무소속,기술,1957-05,0
무소속,기술,1957-06,18
무소속,기술,1957-07,31
무소속,기술,1957-08,13
무소속,기술,1957-09,5
무소속,기술,1957-10,21
무소속,기술,1957-11,15
무소속,기술,1957-12,72
무소속,기술,1958-01,1
무소속,기술,1958-02,13
무소속,기술,1958-03,0
무소속,기술,1958-04,0
무소속,기술,1958-05,0
무소속,기술,1958-06,3
무소속,기술,1958-07,49
무소속,기술,1958-08,28
무소속,기술,1958-09,1
무소속,기술,1958-10,4
무소속,기술,1958-11,51
무소속,기술,1958-12,18
무소속,기술,1959-01,0
무소속,기술,1959-02,2
무소속,기술,1959-03,0
무소속,기술,1959-04,1
무소속,기술,1959-05,15
무소속,기술,1959-06,16
무소속,기술,1959-07,2
무소속,기술,1959-09,0
무소속,기술,1959-10,9
무소속,기술,1959-11,80
무소속,기술,1959-12,37
무소속,기술,1960-01,20
무소속,기술,1960-02,0
무소속,기술,1960-03,1
무소속,기술,1960-04,5
민주당,기술,1948-06,0
민주당,기술,1948-07,0
민주당,기술,1948-08,0
민주당,기술,1948-09,0
민주당,기술,1948-10,0
민주당,기술,1948-11,0
민주당,기술,1948-12,0
민주당,기술,1949-01,0
민주당,기술,1949-02,0
민주당,기술,1949-03,0
민주당,기술,1949-04,0
민주당,기술,1949-05,0
민주당,기술,1949-06,0
민주당,기술,1949-07,0
민주당,기술,1949-08,0
민주당,기술,1949-09,0
민주당,기술,1949-10,0
민주당,기술,1949-11,0
민주당,기술,1949-12,0
민주당,기술,1950-01,0
민주당,기술,1950-02,0
민주당,기술,1950-03,0
민주당,기술,1950-04,0
민주당,기술,1950-06,0
민주당,기술,1950-10,0
민주당,기술,1950-11,0
민주당,기술,1950-12,0
민주당,기술,1951-01,0
민주당,기술,1951-02,0
민주당,기술,1951-03,0
민주당,기술,1951-04,0
민주당,기술,1951-05,0
민주당,기술,1951-06,0
민주당,기술,1951-07,0
민주당,기술,1951-08,0
민주당,기술,1951-09,0
민주당,기술,1951-10,0
민주당,기술,1951-11,0
민주당,기술,1951-12,0
민주당,기술,1952-01,0
민주당,기술,1952-02,0
민주당,기술,1952-03,0
민주당,기술,1952-04,0
민주당,기술,1952-05,0
민주당,기술,1952-06,0
민주당,기술,1952-07,0
민주당,기술,1952-08,0
민주당,기술,1952-09,0
민주당,기술,1952-10,0
민주당,기술,1952-11,0
민주당,기술,1952-12,0
민주당,기술,1953-01,0
민주당,기술,1953-02,0
민주당,기술,1953-03,0
민주당,기술,1953-04,0
민주당,기술,1953-05,0
민주당,기술,1953-06,0
민주당,기술,1953-07,0
민주당,기술,1953-08,0
민주당,기술,1953-09,0
민주당,기술,1953-10,0
민주당,기술,1953-11,0
민주당,기술,1953-12,0
민주당,기술,1954-01,0
민주당,기술,1954-02,0
민주당,기술,1954-03,0
민주당,기술,1954-04,0
민주당,기술,1954-05,0
민주당,기술,1954-06,0
민주당,기술,1954-07,0
민주당,기술,1954-08,0
민주당,기술,1954-09,0
민주당,기술,1954-10,0
민주당,기술,1954-11,0
민주당,기술,1954-12,0
민주당,기술,1955-01,0
민주당,기술,1955-02,0
민주당,기술,1955-03,0
민주당,기술,1955-04,0
민주당,기술,1955-05,0
민주당,기술,1955-06,0
민주당,기술,1955-07,0
민주당,기술,1955-08,0
민주당,기술,1955-09,0
민주당,기술,1955-10,0
민주당,기술,1955-11,0
민주당,기술,1955-12,0
민주당,기술,1956-01,0
민주당,기술,1956-02,0
민주당,기술,1956-03,0
민주당,기술,1956-04,0
민주당,기술,1956-05,0
민주당,기술,1956-06,0
민주당,기술,1956-07,0
민주당,기술,1956-08,0
민주당,기술,1956-09,0
민주당,기술,1956-10,0
민주당,기술,1956-11,0
민주당,기술,1956-12,0
민주당,기술,1957-01,0
민주당,기술,1957-02,0
민주당,기술,1957-03,0
민주당,기술,1957-04,1
민주당,기술,1957-05,0
민주당,기술,1957-06,0
민주당,기술,1957-07,0
민주당,기술,1957-08,0
민주당,기술,1957-09,0
민주당,기술,1957-10,0
민주당,기술,1957-11,0
민주당,기술,1957-12,0
민주당,기술,1958-01,0
민주당,기술,1958-02,0
민주당,기술,1958-03,0
민주당,기술,1958-04,0
민주당,기술,1958-05,0
민주당,기술,1958-06,12
민주당,기술,1958-07,199
민주당,기술,1958-08,208
민주당,기술,1958-09,5
민주당,기술,1958-10,23
민주당,기술,1958-11,151
민주당,기술,1958-12,94
민주당,기술,1959-01,0
민주당,기술,1959-02,7
민주당,기술,1959-03,19
민주당,기술,1959-04,1
민주당,기술,1959-05,28
민주당,기술,1959-06,98
민주당,기술,1959-07,11
민주당,기술,1959-09,0
민주당,기술,1959-10,21
민주당,기술,1959-11,266
민주당,기술,1959-12,190
민주당,기술,1960-01,49
민주당,기술,1960-02,0
민주당,기술,1960-03,0
민주당,기술,1960-04,8
한국민주당,기술,1948-06,19
한국민주당,기술,1948-07,27
한국민주당,기술,1948-08,9
한국민주당,기술,1948-09,26
한국민주당,기술,1948-10,8
한국민주당,기술,1948-11,23
한국민주당,기술,1948-12,9
한국민주당,기술,1949-01,10
한국민주당,기술,1949-02,21
한국민주당,기술,1949-03,55
한국민주당,기술,1949-04,61
한국민주당,기술,1949-05,10
한국민주당,기술,1949-06,6
한국민주당,기술,1949-07,32
한국민주당,기술,1949-08,0
한국민주당,기술,1949-09,20
한국민주당,기술,1949-10,18
한국민주당,기술,1949-11,96
한국민주당,기술,1949-12,27
한국민주당,기술,1950-01,29
한국민주당,기술,1950-02,17
한국민주당,기술,1950-03,26
한국민주당,기술,1950-04,29
한국민주당,기술,1950-06,0
한국민주당,기술,1950-10,0
한국민주당,기술,1950-11,0
한국민주당,기술,1950-12,0
한국민주당,기술,1951-01,0
한국민주당,기술,1951-02,0
한국민주당,기술,1951-03,0
한국민주당,기술,1951-04,0
한국민주당,기술,1951-05,0
한국민주당,기술,1951-06,0
한국민주당,기술,1951-07,0
한국민주당,기술,1951-08,0
한국민주당,기술,1951-09,0
한국민주당,기술,1951-10,0
한국민주당,기술,1951-11,0
한국민주당,기술,1951-12,0
한국민주당,기술,1952-01,0
한국민주당,기술,1952-02,0
한국민주당,기술,1952-03,0
한국민주당,기술,1952-04,0
한국민주당,기술,1952-05,0
한국민주당,기술,1952-06,0
한국민주당,기술,1952-07,0
한국민주당,기술,1952-08,0
한국민주당,기술,1952-09,0
한국민주당,기술,1952-10,0
한국민주당,기술,1952-11,0
한국민주당,기술,1952-12,0
한국민주당,기술,1953-01,0
한국민주당,기술,1953-02,0
한국민주당,기술,1953-03,0
한국민주당,기술,1953-04,0
한국민주당,기술,1953-05,0
한국민주당,기술,1953-06,0
한국민주당,기술,1953-07,0
한국민주당,기술,1953-08,0
한국민주당,기술,1953-09,0
한국민주당,기술,1953-10,0
한국민주당,기술,1953-11,0
한국민주당,기술,1953-12,0
한국민주당,기술,1954-01,0
한국민주당,기술,1954-02,0
한국민주당,기술,1954-03,0
한국민주당,기술,1954-04,0
한국민주당,기술,1954-05,0
한국민주당,기술,1954-06,0
한국민주당,기술,1954-07,0
한국민주당,기술,1954-08,0
한국민주당,기술,1954-09,0
한국민주당,기술,1954-10,0
한국민주당,기술,1954-11,0
한국민주당,기술,1954-12,0
한국민주당,기술,1955-01,0
한국민주당,기술,1955-02,0
한국민주당,기술,1955-03,0
한국민주당,기술,1955-04,0
한국민주당,기술,1955-05,0
한국민주당,기술,1955-06,0
한국민주당,기술,1955-07,0
한국민주당,기술,1955-08,0
한국민주당,기술,1955-09,0
한국민주당,기술,1955-10,0
한국민주당,기술,1955-11,0
한국민주당,기술,1955-12,0
한국민주당,기술,1956-01,0
한국민주당,기술,1956-02,0
한국민주당,기술,1956-03,0
한국민주당,기술,1956-04,0
한국민주당,기술,1956-05,0
한국민주당,기술,1956-06,0
한국민주당,기술,1956-07,0
한국민주당,기술,1956-08,0
한국민주당,기술,1956-09,0
한국민주당,기술,1956-10,0
한국민주당,기술,1956-11,0
한국민주당,기술,1956-12,0
한국민주당,기술,1957-01,0
한국민주당,기술,1957-02,0
한국민주당,기술,1957-03,0
한국민주당,기술,1957-04,0
한국민주당,기술,1957-05,0
한국민주당,기술,1957-06,0
한국민주당,기술,1957-07,0
한국민주당,기술,1957-08,0
한국민주당,기술,1957-09,0
한국민주당,기술,1957-10,0
한국민주당,기술,1957-11,0
한국민주당,기술,1957-12,0
한국민주당,기술,1958-01,0
한국민주당,기술,1958-02,0
한국민주당,기술,1958-03,0
한국민주당,기술,1958-04,0
한국민주당,기술,1958-05,0
한국민주당,기술,1958-06,0
한국민주당,기술,1958-07,0
한국민주당,기술,1958-08,0
한국민주당,기술,1958-09,0
한국민주당,기술,1958-10,0
한국민주당,기술,1958-11,0
한국민주당,기술,1958-12,0
한국민주당,기술,1959-01,0
한국민주당,기술,1959-02,0
한국민주당,기술,1959-03,0
한국민주당,기술,1959-04,0
한국민주당,기술,1959-05,0
한국민주당,기술,1959-06,0
한국민주당,기술,1959-07,0
한국민주당,기술,1959-09,0
한국민주당,기술,1959-10,0
한국민주당,기술,1959-11,0
한국민주당,기술,1959-12,0
한국민주당,기술,1960-01,0
한국민주당,기술,1960-02,0
한국민주당,기술,1960-03,0
한국민주당,기술,1960-04,0
대한국민당,기술,1948-06,0
대한국민당,기술,1948-07,0
대한국민당,기술,1948-08,0
대한국민당,기술,1948-09,0
대한국민당,기술,1948-10,0
대한국민당,기술,1948-11,0
대한국민당,기술,1948-12,0
대한국민당,기술,1949-01,0
대한국민당,기술,1949-02,0
대한국민당,기술,1949-03,0
대한국민당,기술,1949-04,0
대한국민당,기술,1949-05,0
대한국민당,기술,1949-06,0
대한국민당,기술,1949-07,0
대한국민당,기술,1949-08,0
대한국민당,기술,1949-09,0
대한국민당,기술,1949-10,0
대한국민당,기술,1949-11,0
대한국민당,기술,1949-12,0
대한국민당,기술,1950-01,0
대한국민당,기술,1950-02,0
대한국민당,기술,1950-03,0
대한국민당,기술,1950-04,0
대한국민당,기술,1950-06,0
대한국민당,기술,1950-10,1
대한국민당,기술,1950-11,11
대한국민당,기술,1950-12,1
대한국민당,기술,1951-01,1
대한국민당,기술,1951-02,4
대한국민당,기술,1951-03,16
대한국민당,기술,1951-04,14
대한국민당,기술,1951-05,11
대한국민당,기술,1951-06,9
대한국민당,기술,1951-07,13
대한국민당,기술,1951-08,9
대한국민당,기술,1951-09,10
대한국민당,기술,1951-10,9
대한국민당,기술,1951-11,9
