번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
123,제4대,유청,민주당,,전북 전주시갑,남,4선,지역구
124,제4대,윤담,민주당,,충남 논산을,남,3선,지역구
125,제4대,윤명운,민주당,,서울 영등포구갑,남,재선,지역구
126,제4대,윤병구,자유당,,충남 예산군,남,재선,지역구
127,제4대,윤보선,민주당,,서울 종로구갑,남,4선,지역구
128,제4대,윤성순,자유당,,경기 포천군,남,3선,지역구
129,제4대,윤용구,자유당,,경북 청송,남,재선,지역구
130,제4대,윤재근,무소속,,경기 강화군,남,4선,지역구
131,제4대,윤제술,민주당,,전북 김제군을,남,6선,지역구
132,제4대,윤택중,민주당,,전북 익산을,남,3선,지역구
133,제4대,윤형남,민주당,,전남 순천시,남,3선,지역구
134,제4대,이갑식,자유당,,전남 구례,남,재선,지역구
135,제4대,이기붕,자유당,,경기 이천,남,재선,지역구
136,제4대,이동근,자유당,,강원 양양,남,초선,지역구
137,제4대,이동녕,자유당,,경북 문경시,남,3선,지역구
138,제4대,이만우,민주당,,"경남 부산시,영도을",남,재선,지역구
139,제4대,이민우,민주당,,충북 청주,남,6선,지역구
140,제4대,이민우,자유당,,충남 아산,남,재선,지역구
141,제4대,이병하,민주당,,경북 대구시을,남,재선,지역구
142,제4대,이사형,무소속,,전남 나주갑,남,초선,지역구
143,제4대,이상용,자유당,,"경남 부산시,서구갑",남,초선,지역구
144,제4대,이성주,자유당,,경기 고양,남,초선,지역구
145,제4대,이순희,자유당,,경북 대구을,남,초선,지역구
146,제4대,이영언,자유당,,"경남 부산시,영도갑",남,재선,지역구
147,제4대,이영준,민주당,,서울 동대문구을,남,4선,지역구
148,제4대,이영희,자유당,,경남 의령,남,재선,지역구
149,제4대,이옥동,무소속,,전북 진안,남,초선,지역구
150,제4대,이용범,자유당,,경남 창원을,남,재선,지역구
151,제4대,이우출,자유당,,경북 대구병,남,재선,지역구
152,제4대,이원장,자유당,,충남 보령군,남,재선,지역구
153,제4대,이은태,자유당,,전남 여천,남,초선,지역구
154,제4대,이익흥,자유당,,경기 연천,남,초선,지역구
155,제4대,이재학,자유당,,강원 홍천군,남,5선,지역구
156,제4대,이재현,무소속,,경남 삼천포시,남,재선,지역구
157,제4대,이재형,무소속,,경기 시흥시,남,7선,지역구
158,제4대,이정휴,자유당,,전남 광산,남,초선,지역구
159,제4대,이정희,자유당,,경북 영주군,남,재선,지역구
160,제4대,이존화,자유당,,전북 완주갑,남,재선,지역구
161,제4대,이종남,민주당,,"경남 부산시,진구갑",남,3선,지역구
162,제4대,이종수,자유당,,경남 김해을,남,3선,지역구
163,제4대,이종준,자유당,,경북 월성군을,남,초선,지역구
164,제4대,이철승,민주당,,전북 전주을,남,7선,지역구
165,제4대,이태용,민주당,,충북 제천,남,4선,지역구
166,제4대,이필호,민주당,,전남 광주을 ,남,초선,지역구
167,제4대,이협우,자유당,,경북 월성군갑,남,3선,지역구
168,제4대,이형모,자유당,,전남 승주,남,재선,지역구
169,제4대,인태식,자유당,,충남 당진갑,남,3선,지역구
170,제4대,임문석,민주당,,경북 대구시병,남,재선,지역구
171,제4대,임우영,자유당,,강원 춘성,남,재선,지역구
172,제4대,임차주,자유당,,전북 순창군,남,3선,지역구
173,제4대,임철호,자유당,,충남 부여을 ,남,초선,지역구
174,제4대,장경근,자유당,,경기 부천,남,재선,지역구
