번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
38,제3대,김익기,자유당,,경북 안동을,남,5선,지역구
39,제3대,김익노,자유당,,경북 영일군을,남,4선,지역구
40,제3대,김일,자유당,,서울 성북구,남,초선,지역구
41,제3대,김재곤,자유당,,경기 인천시갑,남,3선,지역구
42,제3대,김재황,무소속,,서울 성동구을,남,초선,지역구
43,제3대,김정호,자유당,,전남 광양,남,초선,지역구
44,제3대,김종규,자유당,,경기 양주갑,남,초선,지역구
45,제3대,김종신,자유당,,경남 마산,남,초선,지역구
46,제3대,김준연,민주국민당,,전남 영암군,남,5선,지역구
47,제3대,김지준,자유당,,충남 홍성,남,초선,지역구
48,제3대,김지태,자유당,,경남 부산시갑,남,재선,지역구
49,제3대,김진만,자유당,,강원 삼척군,남,7선,지역구
50,제3대,김창수,자유당,,전북 정읍갑,남,초선,지역구
51,제3대,김철,무소속,,경북 경주군갑,남,재선,지역구
52,제3대,김철안,자유당,,경북 금릉군,여,재선,지역구
53,제3대,김철주,무소속,,전남 여천,남,초선,지역구
54,제3대,김춘호,자유당,,전북 이리,남,초선,지역구
55,제3대,김택술,무소속,,전북 정읍군을,남,재선,지역구
56,제3대,김판술,민주국민당,,전북 군산,남,3선,지역구
57,제3대,김형덕,자유당,,경남 밀양군갑,남,재선,지역구
58,제3대,김홍식,자유당,,경북 고령,남,초선,지역구
59,제3대,나창헌,자유당,,충남 서산갑,남,초선,지역구
60,제3대,나희집,자유당,,충남 서천,남,초선,지역구
61,제3대,남송학,자유당,,서울 용산구을,남,재선,지역구
62,제3대,도진희,자유당,,경북 성주,남,초선,지역구
63,제3대,문종두,무소속,,경북 김천군,남,재선,지역구
64,제3대,민관식,무소속,,서울 동대문구,남,5선,지역구
65,제3대,민영남,무소속,,전남 해남군을,남,재선,지역구
66,제3대,박기운,제헌국회호헌동지회,,충북 청주,남,3선,지역구
67,제3대,박만원,자유당,,경북 군위군,남,3선,지역구
68,제3대,박세경,자유당,,전북 임실군,남,재선,지역구
69,제3대,박순석,자유당,,경북 영일군갑,남,3선,지역구
70,제3대,박영교,무소속,,경북 의성을,남,재선,지역구
71,제3대,박영종,자유당,,전남 담양,남,초선,지역구
72,제3대,박영출,자유당,,경북 의성갑,남,재선,지역구
73,제3대,박용익,무소속,,강원 강릉시을,남,재선,지역구
74,제3대,박재홍,국민당,,경남 김해갑,남,초선,지역구
75,제3대,박정근,자유당,,전북 진안군,남,재선,지역구
76,제3대,박종길,무소속,,경북 영양군,남,3선,지역구
77,제3대,박해정,무소속,,경북 경산,남,4선,지역구
78,제3대,박흥규,자유당,,전남 광산을,남,재선,지역구
79,제3대,백남식,무소속,,경북 상주군을,남,재선,지역구
80,제3대,변진갑,무소속,,전남 장성군,남,3선,지역구
81,제3대,서동진,민주국민당,,경북 대구시갑,남,재선,지역구
82,제3대,서인홍,무소속,,경남 진주,남,초선,지역구
83,제3대,성원경,자유당,,충남 예산군,남,재선,지역구
84,제3대,소선규,민주국민당,,전북 익산갑,남,4선,지역구
85,제3대,손권배,자유당,,전북 완주을,남,초선,지역구
86,제3대,손도심,자유당,,경기 화성갑,남,재선,지역구
87,제3대,손문경,자유당,,전남 고흥군갑,남,재선,지역구
88,제3대,손석두,자유당,,전남 장흥군,남,재선,지역구
89,제3대,손준현,자유당,,충북 영동,남,초선,지역구
90,제3대,송경섭,자유당,,전남 고흥을,남,초선,지역구
91,제3대,송방용,무소속,,전북 김제군갑,남,4선,지역구
92,제3대,송우범,자유당,,충남 대덕,남,초선,지역구
93,제3대,신각휴,민주국민당,,충북 옥천군,남,3선,지역구
94,제3대,신규식,무소속,,전북 부안군,남,재선,지역구
95,제3대,신도성,민주국민당,,경남 거창,남,초선,지역구
96,제3대,신용욱,자유당,,전북 고창군을,남,재선,지역구
97,제3대,신의식,자유당,,경기 용인시,남,재선,지역구
98,제3대,신익희,민주국민당,,전남 광주,남,3선,지역구
99,제3대,신정호,무소속,,충북 청원군갑,남,재선,지역구
100,제3대,신태권,자유당,,충남 논산갑,남,초선,지역구
101,제3대,신하균,민주당,,경기 광주,남,3선,지역구
102,제3대,신행용,무소속,,전남 무안갑,남,초선,지역구
103,제3대,안동준,자유당,,충북 괴산군,남,4선,지역구
104,제3대,안준기,자유당,,경남 산청,남,초선,지역구
105,제3대,양영주,자유당,,전북 남원,남,초선,지역구
106,제3대,양일동,무소속,,전북 옥구,남,5선,지역구
107,제3대,염우량,자유당,,충남 공주갑,남,초선,지역구
108,제3대,오재영,무소속,,경기 안성,남,재선,지역구
109,제3대,오형근,자유당,,경기 가평,남,초선,지역구
110,제3대,유봉순,무소속,,경남 합천군갑,남,재선,지역구
111,제3대,유순식,자유당,,충남 서산군을,남,재선,지역구
112,제3대,유옥우,자유당,,전남 무안군을,남,5선,지역구
113,제3대,유지원,자유당,,충남 연기군,남,재선,지역구
114,제3대,유진산,무소속,,충남 금산군,남,7선,지역구
115,제3대,육완국,무소속,,충남 논산을,남,초선,지역구
116,제3대,윤만석,자유당,,경북 문경,남,초선,지역구
117,제3대,윤병호,무소속,,경남 남해,남,초선,지역구
118,제3대,윤보선,민주국민당,,서울 종로구갑,남,4선,지역구
119,제3대,윤성순,자유당,,경기 포천군,남,3선,지역구
120,제3대,윤용구,자유당,,경북 청송군,남,재선,지역구
121,제3대,윤일상,자유당,,경기 강화,남,초선,지역구
122,제3대,윤재욱,무소속,,서울 영등포구갑,남,재선,지역구
123,제3대,윤제술,무소속,,전북 김제군을,남,6선,지역구
124,제3대,윤치영,국민당,,서울 중구갑,남,4선,지역구
125,제3대,윤형남,무소속,,전남 순천시,남,3선,지역구
126,제3대,이갑식,무소속,,전남 구례군,남,재선,지역구
127,제3대,이기붕,자유당,,서울 서대문구을,남,재선,지역구
128,제3대,이병홍,호헌동지회,,경남 산청군,남,재선,지역구
129,제3대,이복성,자유당,,전북 진안,남,초선,지역구
130,제3대,이석기,무소속,,충남 부여군갑,남,3선,지역구
131,제3대,이성주,자유당,,경기 고양,남,초선,지역구
132,제3대,이영섭,자유당,,경기 시흥,남,초선,지역구
133,제3대,이영언,자유당,,경남 부산시무,남,재선,지역구
134,제3대,이영희,자유당,,경남 의령군,남,재선,지역구
135,제3대,이용범,자유당,,경남 창원군을,남,재선,지역구
136,제3대,이우출,무소속,,경북 대구시병,남,재선,지역구
137,제3대,이인,국민당,,서울 영등포구을,남,3선,지역구
138,제3대,이재학,자유당,,강원 홍천군,남,5선,지역구
139,제3대,이정휴,자유당,,전남 광산군갑,남,초선,지역구
140,제3대,이정희,자유당,,경북 영주군,남,재선,지역구
141,제3대,이존화,자유당,,전북 완주군갑,남,재선,지역구
142,제3대,이종수,무소속,,경남 김해을,남,3선,지역구
143,제3대,이철승,무소속,,전북 전주,남,7선,지역구
144,제3대,이충환,자유당,,충북 진천군,남,6선,지역구
145,제3대,이태용,자유당,,충북 제천,남,4선,지역구
146,제3대,이학림,자유당,,충북 음성군,남,재선,지역구
147,제3대,이협우,무소속,,경북 경주군을,남,3선,지역구
148,제3대,이형모,자유당,,전남 승주,남,재선,지역구
149,제3대,이형진,자유당,,강원 평창,남,초선,지역구
150,제3대,인태식,자유당,,충남 당진군갑,남,3선,지역구
151,제3대,임우영,국민회,,강원 춘성군,남,재선,지역구
152,제3대,임차주,자유당,,전북 순창군,남,3선,지역구
153,제3대,임흥순,무소속,,서울 성동구갑,남,재선,지역구
154,제3대,장경근,자유당,,경기 부천,남,재선,지역구
155,제3대,장석윤,무소속,,강원 횡성군,남,재선,지역구
156,제3대,장영근,무소속,,충북 단양,남,초선,지역구
157,제3대,장택상,무소속,,경북 칠곡군,남,4선,지역구
158,제3대,전만중,자유당,,경북 울진군,남,재선,지역구
159,제3대,전상요,무소속,,강원 정선,남,초선,지역구
160,제3대,전진한,무소속,,경남 부산시을,남,5선,지역구
161,제3대,정갑주,자유당,,경남 사천,남,초선,지역구
162,제3대,정규상,자유당,,강원 영월군,남,재선,지역구
163,제3대,정기원,자유당,,경남 부산시병,남,재선,지역구
164,제3대,정대천,자유당,,경기 파주군,남,재선,지역구
165,제3대,정명선,자유당,,충남 청양,남,초선,지역구
166,제3대,정명섭,자유당,,전남 나주군을,남,3선,지역구
167,제3대,정문흠,자유당,,경북 봉화군,남,3선,지역구
168,제3대,정상열,자유당,,충남 대전,남,초선,지역구
169,제3대,정성태,무소속,,전남 광주,남,6선,지역구
170,제3대,정세환,무소속,,전북 고창군갑,남,재선,지역구
171,제3대,정일형,무소속,,서울 중구을,남,8선,지역구
172,제3대,정재완,무소속,,전남 여수,남,4선,지역구
173,제3대,정존수,자유당,,경기 수원,남,재선,지역구
174,제3대,정준,자유당,,경기 김포군,남,4선,지역구
175,제3대,정준모,자유당,,전북 장수군,남,재선,지역구
176,제3대,정중섭,민주국민당,,전남 목포,남,재선,지역구
177,제3대,정해영,자유당,,경남 울산군을,남,7선,지역구
178,제3대,조경규,자유당,,경남 함안군,남,3선,지역구
179,제3대,조남수,자유당,,충남 부여을 ,남,초선,지역구
180,제3대,조만종,자유당,,경남 밀양을,남,초선,지역구
181,제3대,조병문,자유당,,전남 진도군,남,재선,지역구
182,제3대,조병옥,민주국민당,,경북 대구시을,남,재선,지역구
183,제3대,조순,자유당,,전남 곡성군,남,3선,지역구
184,제3대,조영규,민주국민당,,전남 영광군,남,4선,지역구
185,제3대,조재천,민주국민당,,경북 달성군,남,4선,지역구
186,제3대,지영진,무소속,,경남 양산군,남,재선,지역구
187,제3대,천세기,무소속,,경기 양평군,남,재선,지역구
188,제3대,최갑환,무소속,,경남 고성,남,초선,지역구
189,제3대,최병국,자유당,,경기 화성을,남,초선,지역구
190,제3대,최병권,자유당,,경북 울릉군,남,재선,지역구
191,제3대,최순주,자유당,,충북 영동,남,초선,지역구
192,제3대,최영철,무소속,,전남 나주갑,남,초선,지역구
193,제3대,최용근,자유당,,강원 강릉시갑,남,재선,지역구
194,제3대,최창섭,자유당,,경남 합천군을,남,3선,지역구
195,제3대,최천,민주국민당,,경남 통영군,남,3선,지역구
196,제3대,표양문,자유당,,경기 인천병,남,초선,지역구
197,제3대,하을춘,무소속,,경남 창녕,남,초선,지역구
198,제3대,하태환,무소속,,경북 포항,남,재선,지역구
199,제3대,한동석,자유당,,경기 고양,남,초선,지역구
200,제3대,한희석,자유당,,충남 천안군,남,재선,지역구
201,제3대,함두영,자유당,,서울 마포구을,남,초선,지역구
202,제3대,함재훈,자유당,,강원 원주,남,재선,지역구
203,제3대,현석호,자유당,,경북 예천군,남,재선,지역구
204,제3대,홍순철,자유당,,충남 아산,남,초선,지역구
205,제3대,홍창섭,자유당,,강원 춘천,남,4선,지역구
206,제3대,황경수,자유당,,경기 평택,남,초선,지역구
207,제3대,황남팔,자유당,,경남 진양,남,재선,지역구
208,제3대,황성수,자유당,,전남 보성군,남,4선,지역구
