번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
1,제3대,강경옥,자유당,,제주 남제주군,남,3선,지역구
2,제3대,강봉옥,자유당,,경남 하동,남,초선,지역구
3,제3대,강세형,무소속,,전북 익산을,남,초선,지역구
4,제3대,강승구,무소속,,경기 양주군을,남,3선,지역구
5,제3대,곽상훈,무소속,,경기 인천시을,남,5선,지역구
6,제3대,곽의영,자유당,,충북 청원군을,남,3선,지역구
7,제3대,구흥남,자유당,,전남 화순군,남,재선,지역구
8,제3대,권오종,국민회,,경북 안동갑,남,재선,지역구
9,제3대,권중돈,무소속,,경북 영천군을,남,5선,지역구
10,제3대,김기철,자유당,,충북 충주,남,4선,지역구
11,제3대,김달수,자유당,,충남 공주군을,남,재선,지역구
12,제3대,김달호,무소속,,경북 상주,남,초선,지역구
13,제3대,김도연,민주국민당,,서울 서대문구갑,남,6선,지역구
14,제3대,김동욱,무소속,,경남 부산정,남,3선,지역구
15,제3대,김두진,무소속,,제주 북제주군을,남,재선,지역구
16,제3대,김두한,무소속,,서울 종로구을,남,재선,지역구
17,제3대,김법린,자유당,,경남 동래,남,초선,지역구
18,제3대,김병순,자유당,,전남 해남군갑,남,4선,지역구
19,제3대,김병철,자유당,,경기 이천,남,초선,지역구
20,제3대,김보영,자유당,,경북 청도,남,초선,지역구
21,제3대,김상도,자유당,,경북 영천군갑,남,재선,지역구
22,제3대,김상돈,민주국민당,,서울 마포구갑,남,4선,지역구
23,제3대,김상현,자유당,,전북 무주군,남,재선,지역구
24,제3대,김석호,무소속,,제주 북제주갑,남,초선,지역구
25,제3대,김선우,자유당,,충북 보은군,남,재선,지역구
26,제3대,김선태,무소속,,전남 완도군,남,3선,지역구
27,제3대,김성복,무소속,,전남 보성,남,초선,지역구
28,제3대,김성삼,자유당,,경남 창원갑,남,초선,지역구
29,제3대,김성호,자유당,,전남 강진,남,초선,지역구
30,제3대,김수선,무소속,,경남 울산군갑,남,재선,지역구
31,제3대,김영삼,자유당,,경남 거제군,남,9선,지역구
32,제3대,김영상,국민회,,경남 함양,남,초선,지역구
33,제3대,김영선,자유당,,충남 보령군,남,3선,지역구
34,제3대,김우동,무소속,,경북 선산군,남,재선,지역구
35,제3대,김원규,자유당,,경북 영덕군,남,재선,지역구
36,제3대,김의준,무소속,,경기 여주군,남,3선,지역구
37,제3대,김의택,무소속,,전남 함평군,남,4선,지역구
