번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
1,제2대,강경옥,무소속,,제주 남제주군,남,3선,지역구
2,제2대,강창용,무소속,,제주 북제주을,남,초선,지역구
3,제2대,고영완,민주국민당,,전남 장흥군,남,재선,지역구
4,제2대,곽상훈,무소속,,경기 인천시을,남,5선,지역구
5,제2대,곽의영,무소속,,충북 청원군을,남,3선,지역구
6,제2대,곽태진,민주국민당,,경북 고령군,남,재선,지역구
7,제2대,구덕환,대한독립촉성국민회,,충남 서천,남,초선,지역구
8,제2대,구을회,무소속,,충남 당진,남,초선,지역구
9,제2대,권병노,일민국락부,,경북 의성을,남,재선,지역구
10,제2대,권오훈,무소속,,경북 달성,남,초선,지역구
11,제2대,권중돈,무소속,,경북 영천군갑,남,5선,지역구
12,제2대,권태욱,무소속,,경남 마산,남,재선,지역구
13,제2대,김경배,대한국민당,,황해도 연백갑,남,재선,지역구
14,제2대,김광준,무소속,,경북 울진,남,3선,지역구
15,제2대,김낙오,대한독립촉성국민회,,전남 보성,남,초선,지역구
16,제2대,김동성,무소속,,경기 개성,남,초선,지역구
17,제2대,김명동,대한국민당,,충남 공주을,남,재선,지역구
18,제2대,김명수,민주국민당,,경남 합천을,남,재선,지역구
19,제2대,김문용,자유당,,전남 담양,남,초선,지역구
20,제2대,김범부,무소속,,경남 동래,남,초선,지역구
21,제2대,김병진,대한청년단,,경남 창원갑,남,재선,지역구
22,제2대,김봉재,무소속,,경남 창원을,남,재선,지역구
23,제2대,김봉조,무소속,,경북 청송,남,재선,지역구
24,제2대,김상현,무소속,,전북 무주,남,재선,지역구
25,제2대,김수학,무소속,,전북 고창갑,남,초선,지역구
26,제2대,김시현,민주국민당,,경북 안동갑,남,재선,지역구
27,제2대,김양수,민주국민당,,전남 순천,남,초선,지역구
28,제2대,김영선,무소속,,충남 보령군,남,3선,지역구
29,제2대,김용무,민주국민당,,전남 무안갑,남,초선,지역구
30,제2대,김용우,무소속,,서울 서대문구갑,남,초선,지역구
31,제2대,김용화,대한국민당,,충남 천안,남,재선,지역구
32,제2대,김우성,무소속,,전북 장수,남,초선,지역구
33,제2대,김웅진,대한국민당,,경기 화성을,남,재선,지역구
34,제2대,김의준,무소속,,경기 여주,남,3선,지역구
35,제2대,김익기,무소속,,경북 안동을,남,5선,지역구
36,제2대,김익노,무소속,,경북 영일을,남,4선,지역구
37,제2대,김인선,애국단체연합회,,제주 북제주갑,남,초선,지역구
38,제2대,김인태,무소속,,경기 화성갑,남,초선,지역구
39,제2대,김정기,무소속,,전남 승주,남,초선,지역구
40,제2대,김정두,무소속,,전북 순창,남,초선,지역구
41,제2대,김정식,대한청년단,,경북 영주,남,초선,지역구
42,제2대,김정실,무소속,,경남 고성,남,초선,지역구
43,제2대,김제능,자유당,,충남 서산갑,남,초선,지역구
44,제2대,김종순,무소속,,전남 나주갑,남,초선,지역구
45,제2대,김종열,무소속,,충남 대전,남,초선,지역구
46,제2대,김종회,무소속,,충남 대덕,남,초선,지역구
47,제2대,김준태,무소속,,경북 청도,남,3선,지역구
48,제2대,김준희,대한독립촉성국민회,,전북 진안,남,초선,지역구
49,제2대,김지태,무소속,,경남 부산갑,남,재선,지역구
50,제2대,김칠성,무소속,,경남 부산을,남,초선,지역구
51,제2대,김태희,무소속,,황해도 연백을,남,초선,지역구
52,제2대,김택술,대한노동총연맹,,전북 정읍을,남,재선,지역구
53,제2대,김택천,무소속,,경남 울산을,남,초선,지역구
54,제2대,김판석,대한청년단,,경북 포항,남,초선,지역구
55,제2대,김헌식,무소속,,충남 논산갑,남,초선,지역구
56,제2대,김형덕,무소속,,경남 밀양을,남,재선,지역구
57,제2대,김홍용,무소속,,전남 담양,남,초선,지역구
58,제2대,남송학,대한국민당,,서울 용산구을,남,재선,지역구
59,제2대,노기용,무소속,,경남 합천갑,남,초선,지역구
60,제2대,류기수,무소속,,경기 용인,남,초선,지역구
61,제2대,류홍,대한독립촉성국민회,,서울 영등포구을,남,3선,지역구
62,제2대,민영복,무소속,,충북 청주,남,초선,지역구
63,제2대,박기배,무소속,,전남 해남을,남,초선,지역구
64,제2대,박만원,무소속,,경북 군위,남,3선,지역구
65,제2대,박민기,무소속,,전남 화순,남,재선,지역구
66,제2대,박성우,무소속,,경북 상주갑,남,초선,지역구
67,제2대,박성하,중앙불교위원회,,경북 대구을,남,초선,지역구
68,제2대,박세동,대한국민당,,강원 강릉갑,남,초선,지역구
69,제2대,박순천,대한부인회,,서울 종로구갑,여,5선,지역구
70,제2대,박승하,무소속,,강원 춘성,남,초선,지역구
71,제2대,박양재,무소속,,전북 완주갑,남,초선,지역구
72,제2대,박영래,무소속,,전북 완주을,남,초선,지역구
73,제2대,박영출,대한국민당,,경북 의성갑,남,재선,지역구
74,제2대,박정규,대한독립촉성국민회,,경남 함양,남,초선,지역구
75,제2대,박정근,무소속,,전북 전주,남,재선,지역구
76,제2대,박제환,무소속,,경기 부천,남,재선,지역구
77,제2대,박철규,무소속,,충남 예산,남,초선,지역구
78,제2대,박철웅,무소속,,전남 광주,남,3선,지역구
79,제2대,박충식,무소속,,충남 공주갑,남,3선,지역구
80,제2대,박팔봉,무소속,,전남 고흥갑,남,초선,지역구
81,제2대,방만수,무소속,,경북 경산,남,초선,지역구
82,제2대,배상연,무소속,,경북 성주,남,초선,지역구
83,제2대,배은희,대한국민당,,경북 달성,남,초선,지역구
84,제2대,백남식,대한독립촉성국민회,,경북 상주을,남,재선,지역구
85,제2대,백상규,무소속,,경기 장단,남,초선,지역구
86,제2대,변광호,민주국민당,,전북 군산,남,초선,지역구
87,제2대,변진갑,무소속,,전남 장성,남,3선,지역구
88,제2대,서민호,무소속,,전남 고흥을,남,4선,지역구
89,제2대,서범석,무소속,,경기 옹진갑,남,6선,지역구
90,제2대,서상국,민주국민당,,전남 함평,남,초선,지역구
91,제2대,서상덕,대한청년단,,전남 나주을,남,초선,지역구
92,제2대,서상호,무소속,,경남 통영갑,남,초선,지역구
93,제2대,서이환,일민국락부,,경북 울릉,남,재선,지역구
94,제2대,서장주,무소속,,경남 양산,남,초선,지역구
95,제2대,성득환,민주국민당,,충북 영동,남,초선,지역구
96,제2대,소선규,민주국민당,,전북 익산갑,남,4선,지역구
97,제2대,송방용,무소속,,전북 김제갑,남,4선,지역구
98,제2대,신각휴,민주국민당,,충북 옥천,남,3선,지역구
99,제2대,신광균,일민국락부,,경기 개풍,남,재선,지역구
100,제2대,신석빈,무소속,,전북 정읍갑,남,초선,지역구
101,제2대,신용욱,무소속,,전북 고창을,남,재선,지역구
102,제2대,신용훈,무소속,,경남 창녕,남,초선,지역구
103,제2대,신익희,민주국민당,,전남 광주,남,3선,지역구
104,제2대,신중목,무소속,,경남 거창,남,초선,지역구
105,제2대,안만복,무소속,,충남 서산을,남,재선,지역구
106,제2대,안상한,무소속,,강원 횡성,남,초선,지역구
107,제2대,안용대,무소속,,경북 경주갑,남,재선,지역구
108,제2대,안재홍,무소속,,경기 평택,남,초선,지역구
109,제2대,양병일,민주국민당,,전남 강진,남,재선,지역구
110,제2대,양우정,무소속,,경남 함안,남,초선,지역구
111,제2대,양재하,무소속,,경북 문경,남,초선,지역구
112,제2대,엄병학,대한국민당,,전북 임실,남,재선,지역구
113,제2대,엄상섭,무소속,,전남 광양,남,재선,지역구
114,제2대,여영복,무소속,,경북 금릉,남,초선,지역구
