번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
115,제2대,여운홍,무소속,,경기 양평군,남,재선,지역구
116,제2대,연병호,대한국민당,,충북 괴산,남,재선,지역구
117,제2대,오성환,대한국민당,,서울 마포구갑,남,초선,지역구
118,제2대,오위영,무소속,,경남 울산갑,남,3선,지역구
119,제2대,오의관,무소속,,경기 옹진을,남,초선,지역구
120,제2대,오하영,무소속,,서울 종로구을,남,초선,지역구
121,제2대,우문,대한국민당,,경북 김천,남,초선,지역구
122,제2대,원세훈,민주자주연맹,,서울 중구갑,남,초선,지역구
123,제2대,유덕천,무소속,,경남 진주,남,초선,지역구
124,제2대,유승준,무소속,,충남 홍성,남,재선,지역구
125,제2대,유인곤,대한국민당,,전남 영암,남,초선,지역구
126,제2대,육홍균,대한국민당,,경북 선산,남,재선,지역구
127,제2대,윤기섭,무소속,,서울 서대문구을,남,초선,지역구
128,제2대,윤길중,무소속,,강원 원주,남,6선,지역구
129,제2대,윤담,대한독립촉성국민회,,충남 논산을,남,3선,지역구
130,제2대,윤성순,무소속,,경기 포천,남,3선,지역구
131,제2대,윤영선,민주국민당,,전남 해남갑,남,초선,지역구
132,제2대,윤재근,대한국민당,,경기 강화,남,4선,지역구
133,제2대,윤치영,대한국민당,,충남 공주을,남,4선,지역구
134,제2대,윤택중,민주국민당,,전북 익산을,남,3선,지역구
135,제2대,이갑성,무소속,,경북 대구병,남,초선,지역구
136,제2대,이교선,무소속,,경기 안성,남,재선,지역구
137,제2대,이교승,무소속,,경기 김포,남,초선,지역구
138,제2대,이규갑,대한국민당,,충남 아산,남,초선,지역구
139,제2대,이긍종,무소속,,충남 연기,남,초선,지역구
140,제2대,이도영,무소속,,충북 청원갑,남,초선,지역구
141,제2대,이동환,무소속,,경기 파주,남,초선,지역구
142,제2대,이범승,무소속,,충남 연기,남,재선,지역구
143,제2대,이병홍,무소속,,경남 산청,남,재선,지역구
144,제2대,이상경,대한독립촉성국민회,,경남 하동군,남,초선,지역구
145,제2대,이상철,무소속,,충남 청양,남,3선,지역구
146,제2대,이석기,무소속,,충남 부여갑,남,3선,지역구
147,제2대,이시목,무소속,,경남 의령,남,초선,지역구
148,제2대,이용설,무소속,,경기 인천시갑,남,초선,지역구
149,제2대,이재학,대한국민당,,강원 홍천,남,5선,지역구
150,제2대,이재형,대한국민당,,경기 시흥,남,7선,지역구
151,제2대,이종린,일민국락부,,충남 서산갑,남,재선,지역구
152,제2대,이종성,무소속,,경기 이천,남,초선,지역구
153,제2대,이종수,무소속,,경남 김해을,남,3선,지역구
154,제2대,이종순,무소속,,충남 부여을 ,남,초선,지역구
155,제2대,이종영,대한독립촉성국민회,,강원 정선,남,초선,지역구
156,제2대,이종욱,대한독립촉성국민회,,강원 평창,남,초선,지역구
157,제2대,이종현,무소속,,서울 마포구을,남,초선,지역구
158,제2대,이진수,대한국민당,,경기 양주을,남,재선,지역구
159,제2대,이채오,무소속,,경남 통영을,남,초선,지역구
160,제2대,이춘기,무소속,,전북 이리,남,재선,지역구
161,제2대,이충환,무소속,,충북 진천,남,6선,지역구
162,제2대,이판열,민주국민당,,전남 구례,남,초선,지역구
163,제2대,이학림,무소속,,충북 음성,남,재선,지역구
164,제2대,이한창,자유당,,전남 구례,남,초선,지역구
165,제2대,이협우,대한청년단,,경북 경주을,남,3선,지역구
166,제2대,이호근,대한청년단,,경북 예천,남,초선,지역구
167,제2대,임기봉,,,전남 목포,남,초선,지역구
168,제2대,임영신,대한국민당,,충남 금산,여,재선,지역구
169,제2대,임용순,대한청년단,,강원 삼척,남,초선,지역구
170,제2대,임흥순,민주국민당,,서울 성동구을,남,재선,지역구
171,제2대,장건상,무소속,,경남 부산을,남,초선,지역구
172,제2대,장연송,무소속,,서울 동대문구,남,초선,지역구
173,제2대,장택상,무소속,,경북 칠곡,남,4선,지역구
174,제2대,장홍염,민주국민당,,전남 무안을,남,재선,지역구
175,제2대,전진한,대한노동총연맹,,경남 부산무,남,5선,지역구
176,제2대,정기원,무소속,,경남 부산정,남,재선,지역구
177,제2대,정남국,민주국민당,,전남 완도,남,초선,지역구
178,제2대,정문흠,무소속,,경북 봉화,남,3선,지역구
179,제2대,정순조,대한독립촉성국민회,,전남 광주갑,남,초선,지역구
180,제2대,정인식,대한독립촉성국민회,,전남 광주을 ,남,초선,지역구
181,제2대,정일형,무소속,,서울 중구을,남,8선,지역구
182,제2대,정재완,무소속,,전남 여수,남,4선,지역구
183,제2대,정헌조,대한청년단,,전남 영광,남,재선,지역구
184,제2대,정헌주,무소속,,경남 사천,남,5선,지역구
185,제2대,조경규,무소속,,경북 대구갑,남,3선,지역구
186,제2대,조광섭,조선민주당,,서울 영등포구갑,남,초선,지역구
187,제2대,조규설,무소속,,경북 영천을,남,초선,지역구
188,제2대,조대연,무소속,,충북 충주,남,초선,지역구
189,제2대,조병문,무소속,,전남 진도,남,재선,지역구
190,제2대,조봉암,대한국민당,,경기 인천병,남,재선,지역구
191,제2대,조소앙,사회당,,서울 성북구,남,초선,지역구
192,제2대,조순,대한청년단,,전남 곡성,남,3선,지역구
193,제2대,조시원,사회당,,경기 양주갑,남,초선,지역구
194,제2대,조정훈,무소속,,전북 남원,남,재선,지역구
195,제2대,조종승,대한국민당,,충북 단양,남,재선,지역구
196,제2대,조주영,무소속,,경남 남해,남,초선,지역구
197,제2대,조헌영,무소속,,경북 영양,남,재선,지역구
198,제2대,지연해,무소속,,전북 옥구,남,초선,지역구
199,제2대,지청천,민주국민당,,서울 성동구갑,남,재선,지역구
200,제2대,최국현,민주국민당,,경기 고양,남,재선,지역구
201,제2대,최면수,대한국민당,,충북 보은,남,초선,지역구
202,제2대,최병주,무소속,,전북 부안,남,초선,지역구
203,제2대,최성웅,대한청년단,,경남 밀양갑,남,초선,지역구
204,제2대,최원봉,무소속,,경남 부산무,남,초선,지역구
205,제2대,최원수,무소속,,경북 영일갑,남,초선,지역구
206,제2대,최원호,민주국민당,,경남 김해갑,남,재선,지역구
207,제2대,최윤호,무소속,,전북 김제을,남,초선,지역구
208,제2대,최주일,대한청년단,,전북 김제을,남,초선,지역구
209,제2대,최헌길,대한국민당,,강원 강릉을,남,재선,지역구
210,제2대,태완선,무소속,,강원 영월,남,3선,지역구
211,제2대,하만복,무소속,,경남 진양,남,초선,지역구
212,제2대,한국원,무소속,,경북 영덕,남,초선,지역구
213,제2대,한필수,무소속,,충북 제천,남,초선,지역구
214,제2대,홍길선,민주국민당,,경기 수원,남,4선,지역구
215,제2대,홍익표,무소속,,경기 가평,남,6선,지역구
216,제2대,홍창섭,무소속,,강원 춘천,남,4선,지역구
217,제2대,황병규,대한국민당,,전남 여천,남,재선,지역구
218,제2대,황성수,무소속,,서울 용산구갑,남,4선,지역구
